route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
602,1,602,North Star / Medical Center,,3,,913493,000000
603,1,603,Medical Center / UTSA,,3,,913493,000000
604,1,604,Medical Center / University Heights,,3,,913493,000000
605,1,605,UTSA / Mainland,,3,,913493,000000
606,1,606,Medical Center / Alamo Ranch,,3,,913493,000000
607,1,607,Medical Center / Ingram,,3,,913493,000000
609,1,609,Ingram / Mainland,,3,,913493,000000
610,1,610,Ingram / Northwest Crossing,,3,,913493,000000
611,1,611,Valley-Hi / Kel-Lac,,3,,913493,000000
612,1,612,Kel-Lac / Westlakes,,3,,913493,000000
613,1,613,Heritage NW / Kel-Lac,,3,,913493,000000
614,1,614,Hidden Cove / Kel-Lac,,3,,913493,000000
615,1,615,Kel-Lac / Heritage Park,,3,,913493,000000
616,1,616,Sky Harbour / Kel-Lac,,3,,913493,000000
617,1,617,Kel-Lac / Rainbow Hills,,3,,913493,000000
618,1,618,Ingram / Westlakes,,3,,913493,000000
619,1,619,Kel-Lac / Indian Creek,,3,,913493,000000
62,1,62,Kirk,,3,,913493,000000
620,1,620,Northwest Vista College / Ingram,,3,,913493,000000
629,1,629,Industry Park,,3,,913493,000000
630,1,630,Randolph / Kirby / Sunrise,,3,,913493,000000
631,1,631,Sunrise / Summerfest,,3,,913493,000000
632,1,632,Randolph / Ventura,,3,,913493,000000
64,1,64,US 90 Express,,3,,F58220,000000
647,1,647,North Star / Harry Wurzbach,,3,,913493,000000
648,1,648,North Star / Stone Oak,,3,,913493,000000
65,1,65,JBSA Express / Lackland / USO,,3,,F58220,000000
651,1,651,Deco District / Castle Hills,,3,,913493,000000
66,1,66,Ceralvo Frequent,,3,,E13C40,000000
660,1,660,NW Vista College / University P&R,,3,,913493,000000
67,1,67,Laredo,,3,,913493,000000
672,1,672,TAMUSA / Madla Transit Center,,3,,913493,000000
68,1,68,Guadalupe Frequent,,3,,E13C40,000000
7,1,7,Stone Oak Express,,3,,F58220,000000
70,1,70,Cesar Chavez,,3,,913493,000000
75,1,75,West Commerce Frequent,,3,,E13C40,000000
76,1,76,West Commerce Skip,,3,,35B558,000000
77,1,77,Martin,,3,,913493,000000
79,1,79,Ruiz Frequent,,3,,E13C40,000000
8,1,8,North St. Mary''s,,3,,913493,000000
82,1,82,Culebra Frequent,,3,,E13C40,000000
88,1,88,Bandera Frequent,,3,,E13C40,000000
89,1,89,Poplar,,3,,913493,000000
9,1,9,Broadway Frequent,,3,,E13C40,000000
90,1,90,Woodlawn,,3,,913493,000000
93,1,93,IH10 / UTSA Express,,3,,F58220,000000
95,1,95,Fredericksburg Road,,3,,913493,000000
96,1,96,Vance Jackson,,3,,913493,000000
97,1,97,West Avenue,,3,,913493,000000
999,1,999,Encino Courtesy Van,,3,,00FFFF,000000
