stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
75397,75397,MILITARY HWY. IN FRONT OF 13121,NW MILITARY HWY & FM-1535,29.562557,-98.537375,,,,,,0
17487,17487,MILITARY HWY. OPPOSITE BRAESVIEW AP,,29.547282,-98.530568,,,,,,0
28137,28137,MILITARY HWY. IN FRONT OF LOCKHILL,,29.543915,-98.529056,,,,,,0
29933,29933,LOCKHILL-SELMA OPPOSITE BALTIC,Lockhill-Selma Rd & N Winston Ln,29.538452,-98.524829,,,,,,0
31843,31843,LOCKHILL-SELMA & WEST AVE.,,29.535159,-98.520631,,,,,,0
49387,49387,WEST AVE. & MILITARY HWY.,,29.533462,-98.522157,,,,,,0
48997,48997,WEST AVE. & HIBISCUS,,29.529473,-98.525848,,,,,,0
58697,58697,WEST AVE. OPPOSITE MIMOSA,,29.526307,-98.52598,,,,,,0
69517,69517,West Ave. Between Roundup & Castle Oaks,,29.522707,-98.526,,,,,,0
88497,88497,WEST AVE. OPPOSITE 5002,,29.512449,-98.526003,,,,,,0
88897,88897,WEST AVE. IN FRONT OF 4831,,29.510149,-98.525991,,,,,,0
98797,98797,WEST AVE. & TRUDELL,,29.506865,-98.525989,,,,,,0
18297,18297,WEST AVE. & PILGRIM,,29.504871,-98.525999,,,,,,0
18597,18597,WEST AVE. & STOREYWOOD,,29.503112,-98.526018,,,,,,0
19717,19717,WEST AVE. & WAYSIDE,,29.501695,-98.525997,,,,,,0
28397,28397,WEST AVE. OPPOSITE DRESDEN,,29.499169,-98.526016,,,,,,0
28597,28597,WEST AVE OPPOSITE SCHMELTZER,,29.497969,-98.526015,,,,,,0
39117,39117,WEST AVE. & NASSAU,,29.495578,-98.526024,,,,,,0
39817,39817,WEST AVE. OPPOSITE WEIZMANN,,29.49215,-98.526032,,,,,,0
48197,48197,WEST AVE. & MACKEY,,29.490824,-98.526021,,,,,,0
48897,48897,WEST AVE. & LA MANDA,,29.486791,-98.526029,,,,,,0
59417,59417,WEST AVE. OPPOSITE MARDELL,,29.484165,-98.526038,,,,,,0
59717,59717,WEST AVE. OPPOSITE HERMINE,,29.482749,-98.526057,,,,,,0
69417,69417,WEST AVE. & GARDINA,,29.480183,-98.526058,,,,,,0
69817,69817,WEST AVE. & CLOWER,,29.477732,-98.526013,,,,,,0
79317,79317,WEST AVE. & EDISON,,29.475343,-98.526066,,,,,,0
11753,11753,FREDERICKSBURG RD. & AGARITA,,29.458237,-98.51992,,,,,,0
33263,33263,FREDERICKSBURG RD. & CRAIG,,29.451752,-98.51366,,,,,,0
45987,45987,FREDERICKSBURG RD. & CULEBRA,,29.443264,-98.505309,,,,,,0
78347,78347,N. FLORES & KINGSBURY,,29.432176,-98.496176,,,,,,0
78887,78887,N. FLORES & MARTIN,,29.429388,-98.494578,,,,,,0
19397,19397,S. ST. MARY'S & KING WILLIAM,,29.417865,-98.490269,,,,,,0
21357,21357,S. ST. MARY'S & PEREIDA,,29.412803,-98.488599,,,,,,0
31297,31297,S. ST. MARY'S & BARBE,,29.408544,-98.487197,,,,,,0
52627,52627,ROOSEVELT & HIGHLAND,,29.396894,-98.486022,,,,,,0
62427,62427,ROOSEVELT OPPOSITE MCKINLEY,,29.393438,-98.486165,,,,,,0
82387,82387,ROOSEVELT OPPOSITE UVALDE,,29.384071,-98.484115,,,,,,0
93437,93437,ROOSEVELT IN FRONT OF ROOSEVELT MOB,,29.379017,-98.481705,,,,,,0
93647,93647,ROOSEVELT & RIVERSIDE,,29.377799,-98.481344,,,,,,0
13357,13357,ROOSEVELT IN FRONT OF 2617,,29.374568,-98.481303,,,,,,0
13657,13657,ROOSEVELT & E. SOUTHCROSS,,29.373277,-98.481282,,,,,,0
23357,23357,ROOSEVELT & BUSTILLOS,,29.370642,-98.481313,,,,,,0
23757,23757,ROOSEVELT & KELLY,,29.368287,-98.481313,,,,,,0
23967,23967,ROOSEVELT & DAGLEY (WHITE),,29.366825,-98.481292,,,,,,0
33447,33447,ROOSEVELT IN FRONT OF 3135,,29.364975,-98.481313,,,,,,0
33757,33757,ROOSEVELT & PYRON-MISSION RD.,,29.363179,-98.481426,,,,,,0
43457,43457,ROOSEVELT & BONNER,,29.360128,-98.481436,,,,,,0
53967,53967,ROOSEVELT & HARDING,,29.352421,-98.48126,,,,,,0
63967,63967,ROOSEVELT & MARCH,,29.347962,-98.481281,,,,,,0
73767,73767,ROOSEVELT OPPOSITE MEMORIAL STADIUM,,29.343838,-98.48128,,,,,,0
83467,83467,ROOSEVELT OPPOSITE 98TH,,29.340904,-98.48128,,,,,,0
93867,93867,ROOSEVELT & ASHLEY,,29.333467,-98.481208,,,,,,0
24217,24217,ROOSEVELT & LOMA MESA,,29.328097,-98.479725,,,,,,0
34247,34247,ROOSEVELT IN FRONT OF 5335,,29.323124,-98.478315,,,,,,0
34773,34773,SANTA RITA & ROOSEVELT,,29.320137,-98.476761,,,,,,0
35753,35753,SANTA RITA IN FRONT OF 1406,,29.320137,-98.475269,,,,,,0
