StopNumber,Location,StreetNumber,Street,City,State,Zip
79877,ST. MARY'S BETWEEN CONVENT & MART,603,N St Mary's St,San Antonio,TX,78205
79977,ST. MARY'S & PECAN,152,E Pecan St,San Antonio,TX,78205
89377,ST. MARY'S BETWEEN TRAVIS & HOUSTON,175,E Houston St,San Antonio,TX,78205
89867,ST. MARY'S & COMMERCE,106,S St Mary's St,San Antonio,TX,78205
89839,COMMERCE & SOLEDAD,102,Main Plz,San Antonio,TX,78205
88779,COMMERCE & FLORES,211,W Commerce St,San Antonio,TX,78205
88719,COMMERCE & LAREDO,332,W Commerce St,San Antonio,TX,78205
87799,COMMERCE & SANTA ROSA,104,S Santa Rosa,San Antonio,TX,78207
87639,COMMERCE & SAN SABA,514,W Commerce St,San Antonio,TX,78207
87619,W. COMMERCE & PECOS,,US 87,San Antonio,TX,78274
86669,W. COMMERCE & LEONA,803,W Commerce St,San Antonio,TX,78207
86639,W. COMMERCE & FRIO,821,W Commerce St,San Antonio,TX,78207
84569,W. COMMERCE & RICHTER,106,N Richter St,San Antonio,TX,78207
84439,W. COMMERCE & COLORADO,1430,W Commerce St,San Antonio,TX,78207
83449,W. COMMERCE & LAS MORAS,1726,W Commerce St,San Antonio,TX,78207
83419,W. COMMERCE & SAN JACINTO,1823,W Commerce St,San Antonio,TX,78207
82349,W. COMMERCE & TRINITY,2020,W Commerce St,San Antonio,TX,78207
81389,W. COMMERCE & SABINAS,2223,W Commerce St,San Antonio,TX,78207
81329,W. COMMERCE & NAVIDAD,2423,W Commerce St,San Antonio,TX,78207
89269,W. COMMERCE & CALAVERAS,2626,W Commerce St,San Antonio,TX,78207
88289,W. COMMERCE & N. ZARZAMORA,2902,W Commerce St,San Antonio,TX,78207
88259,W. COMMERCE & MURRAY,2929,W Commerce St,San Antonio,TX,78207
87169,W. COMMERCE & HAMILTON,3131,W Commerce St,San Antonio,TX,78207
76979,W. COMMERCE & MINTER,3335,W Commerce St,San Antonio,TX,78207
76949,W. COMMERCE & N.W. 19TH,3431,W Commerce St,San Antonio,TX,78207
75979,W. COMMERCE & N.W. 21ST,3623,W Commerce St,San Antonio,TX,78207
74899,W. COMMERCE & N.W. 23RD,3831,W Commerce St,San Antonio,TX,78207
74859,W. COMMERCE & N.W. 24TH,4021,W Commerce St,San Antonio,TX,78207
73899,W. COMMERCE & N.W. 26TH,4123,W Commerce St,San Antonio,TX,78207
73749,W. COMMERCE IN FRONT OF 4303,4311,W Commerce St,San Antonio,TX,78237
72779,W. COMMERCE IN FRONT OF 4431,4431,W Commerce St,San Antonio,TX,78237
71699,W. COMMERCE & KNOKE,4545,W Commerce St,San Antonio,TX,78237
71639,W. COMMERCE & GEN. MCMULLEN,4637,W Commerce St,San Antonio,TX,78237
79579,W. COMMERCE IN FRONT OF 4711,4734,W Commerce St,San Antonio,TX,78237
79639,W. COMMERCE OPPOSITE SAN DARIO,4951,W Commerce St,San Antonio,TX,78237
78599,W. COMMERCE & SAN FELIPE (OFFSET),4965,W Commerce St,San Antonio,TX,78237
78519,W. COMMERCE & SAN IGNACIO,5127,W Commerce St,San Antonio,TX,78237
77459,W. COMMERCE & ALLSUP,5241,W Commerce St,San Antonio,TX,78237
76479,W. COMMERCE & N.W. 34TH,5403,W Commerce St,San Antonio,TX,78237
76349,W. COMMERCE & PARK PLAZA,5422,W Commerce St,San Antonio,TX,78237
83446,WURZBACH OPPOSITE CTRC,8041,Floyd Curl Dr,San Antonio,TX,78229
75349,W. COMMERCE & 36TH,5637,W Commerce St,San Antonio,TX,78237
74229,W. COMMERCE & E. ENT. TO MONTERREY,5906,W Commerce St,San Antonio,TX,78237
73149,W. COMMERCE & N.W. 39TH,6055,W Commerce St,San Antonio,TX,78237
72179,W. COMMERCE BETWEEN 40TH & HORTENCIA,103,NW 40th St,San Antonio,TX,78237
71199,W. COMMERCE IN FRONT OF 6259,6254,W Commerce St,San Antonio,TX,78237
61919,W. COMMERCE OPPOSITE 6350 (ACME),6350,W Commerce St,San Antonio,TX,78237
71117,ACME OPPOSITE BUENA VISTA,6546,Buena Vista St,San Antonio,TX,78237
71527,ACME BETWEEN ENID & FRIDELL,5034,Fridell St,San Antonio,TX,78237
71817,ACME BETWEEN PHARIS & JOE BLANKS,218,Ezekiel Rdg,San Antonio,TX,78227
86846,S.W. 34TH BETWEEN JEWETT & EL PASO,1255,Jewett,San Antonio,TX,78237
87923,EL PASO IN FRONT OF 5402,5354,El Paso St,San Antonio,TX,78237
87973,EL PASO & SAN JOAQUIN,535,S San Joaquin,San Antonio,TX,78237
98123,EL PASO & SAN HORACIO,539,S San Horacio,San Antonio,TX,78237
98173,EL PASO BET SAN FELIPE & SAN EDUA,4815,El Paso St,San Antonio,TX,78237
99113,EL PASO & SAN DARIO,603,S San Dario,San Antonio,TX,78237
99163,EL PASO & SAN BERNARDO,603,S San Bernardo,San Antonio,TX,78237
99193,EL PASO & GEN. MCMULLEN,579,S General Mcmullen,San Antonio,TX,78237
91273,EL PASO & MATTHEWS,4215,El Paso St,San Antonio,TX,78237
92313,EL PASO & S.W. 29TH,4100,El Paso St,San Antonio,TX,78237
82836,S.W. 29TH & RANDALL,342,Randall Ave,San Antonio,TX,78237
82726,S.W. 29TH & SAN LUIS,4204,San Luis St,San Antonio,TX,78237
82336,S.W. 29TH & MONTEREY,302,SW 29th St,San Antonio,TX,78237
72756,S.W. 29TH & W. COMMERCE,4510,W Commerce St,San Antonio,TX,78237
83919,MEDICAL DR. EAST OF WURZBACH,4739,Medical Dr,San Antonio,TX,78229
89579,VILLA ROSA HOSPITAL,5109,Medical Dr,San Antonio,TX,78229
81833,MEDICAL DR. IN FRONT OF LODGE APTS.,4835,Medical Dr,San Antonio,TX,78229
83573,FLOYD CURL OPPOSITE ENT. TO HUMANA,8041,Floyd Curl Dr,San Antonio,TX,78229
84613,FLOYD CURL OPPOSITE ST. LUKE'S HOSP,7950,Floyd Curl Dr,San Antonio,TX,78229
94267,FLOYD CURL & MEDICAL DR.,4499,Medical Dr,San Antonio,TX,78229
14661,OAK MANOR & SALK DR.,7266,Louis Pasteur Dr,San Antonio,TX,78229
14666,0AK MANOR & SALK DR.,7266,Louis Pasteur Dr,San Antonio,TX,78229
57566,SAN PEDRO & CYPRESS,725,San Pedro Ave,San Antonio,TX,78212
56427,N. LAREDO & LOMBRANO,1723,N Laredo St,San Antonio,TX,78201
56227,FREDERICKSBURG RD. & LAUREL,1611,N Flores St,San Antonio,TX,78201
81926,NAVARRO & COMMERCE,300,E Commerce St,San Antonio,TX,78205
45959,CULEBRA & SAN MARCOS (MPRR),224,Culebra Rd,San Antonio,TX,78201
56426,N. LAREDO OPPOSITE LOMBRANO,1507,N Flores St,San Antonio,TX,78207
93756,MERTON-MINTER AT VA/UNIVERSITY HOSPITALS,7420,Merton Minter,San Antonio,TX,78229
HIGHLAND,HIGHLAND,407,Villareal St,San Antonio,TX,78210
11143,HARDEE & GARDEN,3121,William Hardee Rd,Jbsa Ft Sam Houston,TX,78234
11196,PALO ALTO RD. & HUNTER,9011,Poteet Jourdanton Fwy,San Antonio,TX,78224
11197,PALO ALTO RD. OPPOSITE HUNTER,1725,Palo Alto Rd,San Antonio,TX,78211
11216,S. ST. MARY'S & CESAR CHAVEZ BLVD,700,S St Mary's St,San Antonio,TX,78205
11266,S. ALAMO & CESAR CHAVEZ BLVD,603,S Alamo St,San Antonio,TX,78205
11286,PALO ALTO RD. OPPOSITE WAINWRIGHT,1803,Palo Alto Rd,San Antonio,TX,78211
11287,PALO ALTO RD. & WAINWRIGHT,1759,Palo Alto Rd,San Antonio,TX,78211
11367,S ALAMO OPPOSITE REFUGIO & LAVACA,705,S Alamo St,San Antonio,TX,78205
11389,BABCOCK & WURZBACH,2202,Babcock Rd,San Antonio,TX,78229
11417,S. ST. MARY'S & MADISON,803,S St Mary's St,San Antonio,TX,78205
11429,MARBACH IN FRONT OF HEB PLUS,8214,Marbach Rd,San Antonio,TX,78227
11476,NACOGDOCHES OPPOSITE FRONT ROYAL,16358,Nacogdoches Rd,San Antonio,TX,78247
11477,NACOGDOCHES & FRONT ROYAL,16401,Nacogdoches Rd,San Antonio,TX,78247
11549,LOOP 1604 W ACCESS RD. / LA CANTERA,,Loop 1604,San Antonio,TX,78249
11569,BARRERA & S. ALAMO,716,S Alamo St,San Antonio,TX,78210
22966,BROOKSDALE & YUCCA,746,Morningview St,San Antonio,TX,78220
22967,BROOKSDALE & YUCCA,102,Rice Rd,San Antonio,TX,78220
22969,WOODLAWN OPPOSITE SABINAS,1403,W Woodlawn Ave,San Antonio,TX,78201
23126,BRAZOS & TAMPICO,1305,S Brazos St,San Antonio,TX,78207
23137,BRAZOS & TAMPICO,1225,S Brazos St,San Antonio,TX,78207
23223,MARTIN LUTHER KING & BOUDET,2048,Martin Luther King Jr Dr,San Antonio,TX,78203
23239,MARTIN LUTHER KING & GRIMES,2110,Martin Luther King Jr Dr,San Antonio,TX,78203
23267,LOUIS PASTEUR & BABCOCK,2033,Babcock Rd,San Antonio,TX,78229
23293,MARTIN LUTHER KING & RIO GRA,2224,Martin Luther King Jr Dr,San Antonio,TX,78203
23299,MARTIN LUTHER KING & MEL WAITERS WAY,2310,Martin Luther King Jr Dr,San Antonio,TX,78203
23336,ALLENA & DRESDEN,258,Dresden Dr,San Antonio,TX,78213
23339,DRESDEN & ALLENA,259,Dresden Dr,San Antonio,TX,78213
23416,STANLEY AND SCHOFIELD,2940,Stanley Rd,Jbsa Ft Sam Houston,TX,78234
23417,STANLEY AND SCHOFIELD,3040,Stanley Rd,Jbsa Ft Sam Houston,TX,78234
23427,BRAZOS & S. LAREDO,1339,S Brazos St,San Antonio,TX,78207
23463,WOODLAWN OPPOSITE MORNING GLORY,2703,W Woodlawn Ave,San Antonio,TX,78228
23469,WOODLAWN & MORNING GLORY,2635,W Woodlawn Ave,San Antonio,TX,78228
23616,STANLEY AND SERVICE RD. S-21,2680,Howitzer Rd,Jbsa Ft Sam Houston,TX,78234
23623,VILLARET OPPOSITE 1527,1527,W Villaret Blvd,San Antonio,TX,78224
23626,BRAZOS & LAREDO,1413,S Brazos St,San Antonio,TX,78207
23627,BRAZOS & JEAN,101,Jean St,San Antonio,TX,78207
23629,VILLARET IN FRONT OF 1527,1567,W Villaret Blvd,San Antonio,TX,78224
23656,ALLENA & GILBERT,242,Gilbert Ln,San Antonio,TX,78213
23657,ALLENA OPPOSITE GILBERT,255,Gilbert Ln,San Antonio,TX,78213
12886,BULVERDE & NACO PERRIN,3899,Naco-perrin Blvd,San Antonio,TX,78217
23816,BRAZOS OPPOSITE ANGELA,1615,S Brazos St,San Antonio,TX,78207
23817,BRAZOS AND ANGELA,1535,S Brazos St,San Antonio,TX,78207
23919,FREDERICKSBURG RD. & SPRR,1000,Fredericksburg Rd,San Antonio,TX,78201
23923,WOODLAWN & FREDERICKSBURG RD.,937,Fredericksburg Rd,San Antonio,TX,78201
23929,WOODLAWN & IH-10 W. ACCESS RD.,937,Fredericksburg Rd,San Antonio,TX,78201
23933,FREDERICKSBURG RD. & WOODLAWN,1000,Fredericksburg Rd,San Antonio,TX,78201
23939,FREDERICKSBURG RD. & WOODLAWN,934,Fredericksburg Rd,San Antonio,TX,78201
23953,PALO ALTO COLLEGE,1400,W Villaret Blvd,San Antonio,TX,78224
24167,GOLIAD & AVONDALE,1550,Goliad Rd,San Antonio,TX,78223
24213,MARTIN LUTHER KING OPPOSITE GO,2418,Martin Luther King Jr Dr,San Antonio,TX,78203
24219,MARTIN LUTHER KING AND GOVERNM,1228,Hedges St,San Antonio,TX,78203
24223,MARTIN LUTHER KING & HEIN,1107,Susan Marie,San Antonio,TX,78220
24229,MARTIN LUTHER KING OPPOSITE HEIN,1103,Susan Marie,San Antonio,TX,78220
24233,MARTIN LUTHER KING OPPOSITE SPRING,1612,Hedges St,San Antonio,TX,78203
24239,MARTIN LUTHER KING & ROSARY,1512,Hedges St,San Antonio,TX,78203
24266,SUN VALLEY OPPOSITE PEACH VALLEY,6302,Sun Vly,San Antonio,TX,78227
24267,SUN VALLEY & PEACH VALLEY,6302,Sun Vly,San Antonio,TX,78227
24279,MARTIN LUTHER KING & UPLAND,4115,Laura Jean,San Antonio,TX,78220
24283,MARTIN LUTHER KING OPPOSITE UP,4202,Jarbet Dr,San Antonio,TX,78220
35299,RICE IN FRONT OF 731,718,Rice Rd,San Antonio,TX,78220
35316,BLANCO & RUSSELL,1036,W Russell Pl,San Antonio,TX,78212
35317,BLANCO & RUSSELL,1101,W Russell Pl,San Antonio,TX,78201
35327,SUN VALLEY & MORNING VALLEY,103,Morning Vly,San Antonio,TX,78227
35337,S.W. 35TH OPPOSITE OLGA,1095,SW 35th St,San Antonio,TX,78237
35373,PATTON & S.W. 34TH,2031,SW 34th St,San Antonio,TX,78237
35379,PATTON & S.W. 34TH,2030,SW 34th St,San Antonio,TX,78237
35386,GOLIAD & PECAN VALLEY,6302,Pecan Valley Dr,San Antonio,TX,78223
35387,GOLIAD & PECAN VALLEY,2030,Goliad Rd,San Antonio,TX,78223
35416,BLANCO & BURWOOD,5100,Blanco Rd,San Antonio,TX,78216
35417,BLANCO OPPOSITE BURWOOD,5100,Blanco Rd,San Antonio,TX,78216
35463,CERALVO & S.W. 19TH,1835,SW 19th St,San Antonio,TX,78207
35469,CERALVO & S.W. 19TH,1046,Ceralvo St,San Antonio,TX,78207
35546,BLANCO OPPOSITE MOREY PEAK,902,Morey Peak,San Antonio,TX,78213
35547,BLANCO & MOREY PEAK,903,Morey Peak,San Antonio,TX,78213
35557,BROADWAY IN FRONT OF 2503,2503,Broadway,San Antonio,TX,78215
35646,BROADWAY & ARMY,2424,Broadway,San Antonio,TX,78215
35716,BLANCO & ASHBY,320,Blanco Rd,San Antonio,TX,78212
35717,BLANCO & ASHBY,403,Blanco Rd,San Antonio,TX,78212
35723,ASHBY AND BLANCO,1102,W Ashby Pl,San Antonio,TX,78201
35729,ASHBY AND BLANCO,402,Blanco Rd,San Antonio,TX,78212
61253,LAKE VISTA & CROOKED TRAIL,3703,Crooked Trl,San Antonio,TX,78227
35763,ASHBY IN FRONT OF 926,926,W Ashby Pl,San Antonio,TX,78212
35826,BLANCO & GASKIN,4718,Blanco Rd,San Antonio,TX,78212
35856,BLANCO & PRESIDENT,730,President,San Antonio,TX,78216
35917,BLANCO & HILLWOOD,4718,Blanco Rd,San Antonio,TX,78212
35947,BLANCO & EVENING DUN,1001,Evening Dun,San Antonio,TX,78213
35973,DENVER & S. HACKBERRY,1303,S Hackberry St,San Antonio,TX,78210
35979,DENVER & S HACKBERRY,117,Aransas Ave,San Antonio,TX,78210
35997,NACOGDOCHES & SPRING CREEK,14907,Nacogdoches Rd,San Antonio,TX,78247
36163,RICE & W.W. WHITE,1331,S Ww White Rd,San Antonio,TX,78220
36166,N. FLORES AND WOODLAWN,2806,N Flores St,San Antonio,TX,78212
36167,N. FLORES AND WOODLAWN,2807,N Flores St,San Antonio,TX,78212
36169,RICE & W.W. WHITE,1318,S Ww White Rd,San Antonio,TX,78220
36186,DOLLARHIDE & BOB BILLA,2206,Dollarhide Ave,San Antonio,TX,78223
36187,DOLLARHIDE OPPOSITE BOB BILLA,2111,Dollarhide Ave,San Antonio,TX,78223
36277,NOGALITOS & KELLER,122,Nogalitos St,San Antonio,TX,78204
36296,NOGALITOS & S. FLORES,1501,S Flores St,San Antonio,TX,78204
36323,PATTON BET. VALENCIA & BARNEY,2102,Calle Valencia,San Antonio,TX,78237
36329,PATTON BET BARNEY & VALENCIA,2027,Barney Ave,San Antonio,TX,78237
36363,PATTON & ATHEL,2103,Athel,San Antonio,TX,78237
36366,N. FLORES AND RUSSELL,2602,N Flores St,San Antonio,TX,78212
36367,N. FLORES AND RUSSELL,801,W Russell Pl,San Antonio,TX,78212
36369,PATTON & ATHEL,2026,Athel,San Antonio,TX,78237
36423,CERALVO OPPOSITE S.W. 18TH,954,Ceralvo St,San Antonio,TX,78207
54556,BROADWAY & CASA BLANCA,100,Casa Blanca,San Antonio,TX,78215
54596,PERRIN BEITEL & SUN GATE,9414,Perrin Beitel,San Antonio,TX,78217
54597,PERRIN BEITEL OPPOSITE SUN GATE,9423,Perrin Beitel,San Antonio,TX,78217
54631,SANTA ROSA AND COMMERCE,100,N Santa Rosa,San Antonio,TX,78207
54647,BROADWAY & CASA BLANCA,1603,Broadway,San Antonio,TX,78215
54771,S. ALAMO IN FRONT OF HILTON HOTEL,231,S Alamo St,San Antonio,TX,78205
54821,S. ALAMO & NUEVA,323,S Alamo St,San Antonio,TX,78205
55116,BLANCO OPPOSITE SAN ANGELO,4218,Blanco Rd,San Antonio,TX,78212
55153,HWY. 90 E ACCESS RD. IN FT OF 7500,7500,US Hwy 90 W,San Antonio,TX,78227
55229,San Antonio International Airport,9710,Airport Blvd,San Antonio,TX,78216
55266,BLANCO OPPOSITE MT. KISKO,903,Mt Kisco,San Antonio,TX,78213
55267,BLANCO & MT. KISKO,903,Mt Kisco,San Antonio,TX,78213
55299,AIRPORT,9700,Airport Blvd,San Antonio,TX,78216
55353,CARSON & N. HACKBERRY,113,E Carson St,San Antonio,TX,78208
55359,CARSON & N. HACKBERRY,201,E Carson St,San Antonio,TX,78208
55376,S. HACKBERRY & RIGSBY,1836,S Hackberry St,San Antonio,TX,78210
55417,BLANCO & LOVERA,4024,Blanco Rd,San Antonio,TX,78212
55429,RITTIMAN & MADARIN,4202,Mabuni,San Antonio,TX,78218
55446,VANCE JACKSON & CASTANET,2742,Castanet,San Antonio,TX,78230
55489,MACARTHUR VIEW & NACOGDOCHES,3023,Macarthur Vw,San Antonio,TX,78217
55499,RITTIMAN & MELTON,4403,Rittiman Rd,San Antonio,TX,78218
55526,BLANCO & HERMINE,570,Hermine Blvd,San Antonio,TX,78212
55527,BLANCO & HERMINE,803,Hermine Blvd,San Antonio,TX,78201
55546,AUSTIN AND MASON,1034,Austin St,San Antonio,TX,78208
55547,AUSTIN OPPOSITE MASON,1103,Austin St,San Antonio,TX,78208
55567,BLANCO & BRIARCLIFF,803,Briarcliff Dr,San Antonio,TX,78213
55576,INT'L AIRPORT - NORTH END OF T,9559,Airport Blvd,San Antonio,TX,78216
55586,S. HACKBERRY & KAYTON,1913,S Hackberry St,San Antonio,TX,78210
55593,BITTERS AND NACOGDOCHES,3021,Macarthur Vw,San Antonio,TX,78217
55657,VANCE JACKSON & CORK COVE,2803,Cork Cv,San Antonio,TX,78230
55676,BLANCO OPPOSITE NORTHCREST,7303,Blanco Rd,San Antonio,TX,78216
55756,BLANCO & MCCARTY,802,Briarcliff Dr,San Antonio,TX,78213
55786,S. HACKBERRY & HIGHLAND,2108,S Hackberry St,San Antonio,TX,78210
55787,S. HACKBERRY & HIGHLAND,2035,S Hackberry St,San Antonio,TX,78210
55816,NACOGDOCHES OPPOSITE LOVELACE,2925,Nacogdoches Rd,San Antonio,TX,78217
55817,NACOGDOCHES & LOVELACE,2925,Nacogdoches Rd,San Antonio,TX,78217
55827,AUSTIN UNDER IH-35 N OVERPASS,460,Oak St,San Antonio,TX,78215
55887,N. LAREDO & IH-10 W (CYPRESS),,US 87,San Antonio,TX,78207
55926,BLANCO & MANDALAY,3801,Blanco Rd,San Antonio,TX,78212
55927,BLANCO OPPOSITE MANDALAY,3718,Blanco Rd,San Antonio,TX,78212
55936,AUSTIN UNDER IH-35 N OVERPASS,834,Austin St,San Antonio,TX,78208
55943,S.E. MILITARY DR. OPPOSITE HANZI,101,Claggett,San Antonio,TX,78235
55949,S.E. MILITARY DR. AND HANZI,7407,Hanzi,San Antonio,TX,78223
56126,N. FLORES & EVERGREEN,1627,N Flores St,San Antonio,TX,78212
77516,HARRY WURZBACH OPPOSITE TUTTLE,1403,Harry Wurzbach,San Antonio,TX,78209
77517,HARRY WURZBACH AND TUTTLE,1403,Harry Wurzbach,San Antonio,TX,78209
77529,N.E. LOOP 410 W ACCESS RD./ NORWICH,1803,NE Loop 410,San Antonio,TX,78217
77569,N.E. LOOP 410 W ACCESS RD./POST OAK,1907,NE Loop 410,San Antonio,TX,78217
77696,BROADWAY & N.E.L410 E.ACCESS RD.,8415,Broadway,San Antonio,TX,78209
77823,LOOP 410 E ACCESS RD. AT 1800,1804,NE Loop 410,San Antonio,TX,78217
77843,MARTIN & SAN SABA,414,N San Saba,San Antonio,TX,78207
77879,MARTIN & COLUMBUS,500,Columbus,San Antonio,TX,78207
77893,MARTIN & SANTA ROSA,601,N Santa Rosa,San Antonio,TX,78207
78116,N. FLORES & QUINCY,727,N Flores St,San Antonio,TX,78212
78117,N. FLORES & QUINCY,827,N Flores St,San Antonio,TX,78212
78166,BROADWAY & ARCADIA,5314,Broadway,San Antonio,TX,78209
78197,BROADWAY & KENNEDY,5307,Broadway,San Antonio,TX,78209
78337,BROADWAY IN FRONT OF 8415,8415,Broadway,San Antonio,TX,78209
78347,N. FLORES & KINGSBURY,643,N Flores St,San Antonio,TX,78205
78366,BROADWAY & GROVE,5202,Broadway,San Antonio,TX,78209
78397,BROADWAY & GULF MART,8539,Broadway,San Antonio,TX,78217
78426,BROADWAY IN FRONT OF 8502,8522,Broadway,San Antonio,TX,78217
78439,FARINON & SILICON,12720,Ih 10 W,San Antonio,TX,78230
78466,N. FLORES & GALITZEN,617,N Flores St,San Antonio,TX,78205
78496,SOMERSET & CADDO,284,Caddo,San Antonio,TX,78211
78497,SOMERSET OPPOSITE CADDO,8017,Somerset Rd,San Antonio,TX,78211
78539,RECTOR OPPOSITE AHERN - N.STAR MALL,226,W Rector Dr,San Antonio,TX,78216
78579,RECTOR OPPOSITE WAKEFIELD,102,W Rector Dr,San Antonio,TX,78216
78623,RECTOR & AHERN-OPPOSITE N. STAR M,226,W Rector Dr,San Antonio,TX,78216
78637,WEST AVE. IN FRONT OF 12707,,PA 1502,San Antonio,TX,78216
78683,RECTOR & WAKEFIELD,102,W Rector Dr,San Antonio,TX,78216
78766,SOMERSET & OWASSO,3227,Owasso St,San Antonio,TX,78211
78767,SOMERSET OPPOSITE OWASSO,3227,Owasso St,San Antonio,TX,78211
78769,JACKSON-KELLER & LOOP 410,2103,Jackson-keller Rd,San Antonio,TX,78213
78797,WEST AVE BET L410 & JACKSON-KELLER,6003,West Ave,San Antonio,TX,78213
78823,LOOP 410 E ACCESS RD. & IRA  LEE,1938,NE Loop 410,San Antonio,TX,78217
78866,NACOGDOCHES OPPOSITE ERIN,13000,Nacogdoches Rd,San Antonio,TX,78217
78867,NACOGDOCHES & ERIN,12903,Nacogdoches Rd,San Antonio,TX,78217
78887,N. FLORES & MARTIN,437,N Flores St,San Antonio,TX,78205
78889,MARTIN & N. FLORES,433,N Main Ave,San Antonio,TX,78205
78899,MARTIN & MAIN,423,N Main Ave,San Antonio,TX,78205
78916,CRESTFIELD & BROWNLEAF,502,Crestfield Dr,San Antonio,TX,78227
78929,BROWNLEAF & CRESTFIELD,486,Crestfield Dr,San Antonio,TX,78227
78943,BROWNLEAF & MILITARY DR. W.,6900,Brownleaf Dr,San Antonio,TX,78227
78949,BROWNLEAF & MILITARY DR. WEST,6900,Brownleaf Dr,San Antonio,TX,78227
79137,VILLAGE DR FRNT OF 8711 (T.P. ONLY),8604,Village Dr,San Antonio,TX,78217
79146,VILLAGE DR. OPP. N.E. BAPTIST HOSP,8800,Village Dr,San Antonio,TX,78217
98526,BROADWAY & ALLENSWORTH,4108,Broadway,San Antonio,TX,78209
98547,INGRAM TRANSIT CENTER,3215,Northwestern Dr,San Antonio,TX,78238
98566,S. FLORES & STUMBERG,212,S Flores St,San Antonio,TX,78204
98567,S. FLORES OPPOSITE STUMBERG,101,Stumberg,San Antonio,TX,78204
98613,INGRAM OPPOSITE MAJESTIC,5501,Ingram Rd,San Antonio,TX,78228
98619,INGRAM & MAJESTIC,5501,Ingram Rd,San Antonio,TX,78228
98697,PINN RD. & SHADY GROVE,6803,Shady Grove Dr,San Antonio,TX,78227
98773,IINGRAM OPPOSITE BIG HORN,5339,Southampton,San Antonio,TX,78228
98779,INGRAM & BIG HORN,2811,Big Horn Dr,San Antonio,TX,78228
98796,PINN RD. & SHADY GROVE,6807,Cedarwood Ct,San Antonio,TX,78227
98896,PINN RD. & BLUE OAK,6803,Whitestone Ct,San Antonio,TX,78227
98997,PINN RD. OPPOSITE BLUE OAK,6808,Mountain Park Ct,San Antonio,TX,78227
99117,S. NEW BRAUNFELS & LINDA LOU,926,Linda Lou Dr,San Antonio,TX,78223
99133,MCCRELESS MALL - NORTHSIDE OF SHELT,3906,S New Braunfels Ave,San Antonio,TX,78223
99139,MCCRELESS MALL- SOUTHSIDE OF SHELT,3906,S New Braunfels Ave,San Antonio,TX,78223
99153,FAIRMEADOWS BETWEEN 3110 & 3106,3107,Fairmeadows,San Antonio,TX,78211
99157,ST MARYS BET. MARKET & VILLITA,432,W Market St,San Antonio,TX,78205
99159,FAIRMEADOWS BETWEEN 3106 & 3110,3102,Fairmeadows,San Antonio,TX,78211
99216,N. NEW BRNFLS. OPP. HILDEBRAND,2147,E Hildebrand Ave,San Antonio,TX,78209
99217,N. NEW BRAUNFELS & HILDEBRAND,2147,E Hildebrand Ave,San Antonio,TX,78209
99337,MEDICAL DR. & BABCOCK,5290,Medical Dr,San Antonio,TX,78229
99353,INGRAM RD. & WURZBACH,3102,Wurzbach Rd,San Antonio,TX,78238
99357,ST. MARY'S BETWEEN VILLITA & NUEVA,419,S St Mary's St,San Antonio,TX,78205
99396,NAVARRO OPPOSITE VILLITA,145,Navarro St,San Antonio,TX,78205
99513,INGRAM RD. IN FRONT OF 6602,6608,Ingram Rd,San Antonio,TX,78238
99516,N. NEW BRNFLS. OPP. ALLENSWORTH,254,Allensworth St,San Antonio,TX,78209
99586,S.ST.MARY'S & NUEVA,102,Navarro St,San Antonio,TX,78205
99599,NUEVA & NAVARRO,102,Navarro St,San Antonio,TX,78205
99686,NACOGDOCHES & ROCKHILL,1910,Nacogdoches Rd,San Antonio,TX,78209
99687,NACOGDOCHES OPPOSITE ROCKHILL,1932,Nacogdoches Rd,San Antonio,TX,78209
99717,N. NEW BRAUNFELS AND THORMAN,355,Thorman,San Antonio,TX,78209
99743,IINGRAM & CHESTERHILL,2819,Chesterhill Dr,San Antonio,TX,78228
99759,IINGRAM & WHITE TAIL,5131,Staplehurst,San Antonio,TX,78228
99846,LARKSPUR & BRAESVIEW,11903,Tarragon Cv,San Antonio,TX,78213
99847,LARKSPUR & BRAESVIEW,11821,Tarragon Cv,San Antonio,TX,78213
99867,NACOGDOCHES OPPOSITE 1910,1907,Nacogdoches Rd,San Antonio,TX,78209
99916,N. NEW BRNFLS. OPPOSITE CARNAHAN,355,Carnahan St,San Antonio,TX,78209
99986,S ST MARYS BET. CESAR CHA/ARCINIEGA,618,S St Marys St,San Antonio,TX,78205
9999,Garage Area,303,W Cypress St,San Antonio,TX,78212
TEMP,MICHIGAN AND WOODLAWN,1045,W Craig Pl,San Antonio,TX,78201
97429,FAIRMEADOWS & PALM BEACH,8823,Palm Bch,San Antonio,TX,78211
97443,TIMBER CREEK & MILITARY DR. W.,7737,W Military Dr,San Antonio,TX,78227
97446,HARRY WURZBACH & LYNN BATTS,33,Lynn Batts Ln,San Antonio,TX,78218
97453,FAIRMEADOWS & LONG BRANCH,8903,Long Br,San Antonio,TX,78211
97457,MILITARY DR. W. & TIMBER CREEK,7805,W Military Dr,San Antonio,TX,78227
97737,HARRY WURZBACH FRONT OF ST. PIUS X,7734,Robin Rest Dr,San Antonio,TX,78209
97886,BROADWAY & CARNAHAN,3928,Broadway,San Antonio,TX,78209
97887,BROADWAY IN FRONT OF 4001,3939,Broadway,San Antonio,TX,78209
97937,NOGALITOS & CENTENNIAL,3910,Nogalitos St,San Antonio,TX,78211
