BLOCKGROUP,trip_id
480291719121,159
480291719122,57
480291719131,232
480291719132,201
480291719141,244
480291719142,187
480291719143,290
480291719151,144
480291719161,137
480291719162,62
480291719163,105
480291719171,89
480291719172,233
480291719181,120
480291719182,151
480291719183,259
480291719184,264
480291719191,63
480291719201,263
480291719202,125
480291719211,63
480291719212,63
480291719213,63
480291719221,125
480291719231,241
480291719232,146
480291719233,155
480291719234,201
480291719241,177
480291719242,146
480291719251,112
480291719252,114
480291719253,112
480291719254,112
480291720022,43
480291720023,63
480291720031,65
480291720032,43
480291720051,78
480291720072,120
480291720073,120
480291801011,453
480291801012,822
480291801013,453
480291801014,796
480291801015,794
480291801016,399
480291801021,730
480291801022,783
480291802011,724
480291802012,709
480291802013,669
480291802014,728
480291802021,707
480291802022,780
480291802023,841
480291802024,783
480291803001,207
480291803002,389
480291803003,389
480291803004,333
480291804001,278
480291804002,389
480291804003,244
480291805011,224
480291805012,244
480291805013,190
480291805014,244
480291805031,118
480291805032,118
480291805033,240
480291805041,259
480291805042,176
480291806021,636
480291806022,207
480291806023,207
480291806031,365
480291806041,373
480291806042,846
480291806043,352
480291806044,304
480291806045,200
480291807011,846
480291807012,622
480291807021,958
480291807022,309
480291807023,398
480291807024,301
480291807025,304
480291807026,364
480291808001,784
480291808002,846
480291808003,799
480291809011,855
480291809012,667
480291809013,694
480291809014,181
480291809015,667
480291809021,230
480291809022,230
480291809023,288
480291809024,144
480291809025,227
480291810011,352
480291810012,758
480291810031,541
480291810032,541
480291810033,157
480291810041,479
480291810042,479
480291810051,398
480291810052,784
480291810053,356
480291811001,224
480291811002,224
480291811003,132
480291811004,98
480291812001,258
480291812002,223
480291812003,294
480291812004,352
480291812005,224
480291813011,188
480291813012,160
480291813021,261
480291813022,160
480291813023,261
480291813031,217
480291813032,419
480291814021,781
480291814022,842
480291814031,220
480291814032,348
480291814033,123
480291814041,433
480291814042,391
480291815031,652
480291815032,341
480291815041,842
480291815042,842
480291815043,189
480291815044,842
480291815051,225
480291815052,154
480291815053,216
480291815054,216
480291815061,236
480291815062,331
480291815063,364
480291816011,398
480291816012,629
480291816021,673
480291816022,188
480291816023,240
480291816024,176
480291817031,32
480291817032,262
480291817033,64
480291817041,262
480291817042,333
480291817043,236
480291817044,45
480291817051,784
480291817052,767
480291817053,799
480291817111,87
480291817112,55
480291817113,32
480291817121,55
480291817122,57
480291817131,100
480291817132,100
480291817133,55
480291817134,57
480291817151,89
480291817152,89
480291817153,89
480291817154,89
480291817161,135
480291817162,120
480291817163,120
480291817164,120
480291817181,64
480291817182,32
480291817183,31
480291817201,63
480291817202,48
480291817211,31
480291817212,31
480291817221,89
480291817222,89
480291817223,32
480291817231,89
480291817232,48
480291817233,63
480291817241,31
480291817242,31
480291817251,673
480291817252,673
480291817262,31
480291817271,673
480291817272,112
480291817281,78
480291817282,31
480291817301,57
480291817302,57
480291817311,57
480291817312,89
480291817313,57
480291818081,370
480291818091,80
480291818092,48
480291818093,48
480291818094,48
480291818111,262
480291818112,262
480291818131,322
480291818132,223
480291818133,369
480291818141,432
480291818142,121
480291818151,116
480291818152,405
480291818161,48
480291818162,204
480291818171,152
480291818172,269
480291818181,152
480291818182,48
480291818183,152
480291818191,152
480291818192,204
480291818201,329
480291818202,198
480291818211,48
480291818212,48
480291818221,310
480291818222,81
480291818223,310
480291818231,63
480291818241,32
480291818242,63
480291818251,63
480291818252,63
480291818261,32
480291818262,32
480291818263,32
480291818264,32
480291819011,296
480291819012,329
480291820011,31
480291820012,31
480291820021,15
480291820023,31
480291820031,63
480291901001,1103
480291901002,1103
480291901003,1237
480291901004,1027
480291902001,741
480291902002,389
480291902003,389
480291902004,1050
480291902005,653
480291904001,408
480291904002,543
480291904003,438
480291905011,666
480291905012,730
480291905013,730
480291905031,801
480291905032,472
480291905033,411
480291905041,759
480291905042,669
480291906011,302
480291906012,666
480291906013,666
480291906031,431
480291906032,466
480291906041,271
480291906042,167
480291906043,201
480291907001,374
480291907002,377
480291907003,377
480291908001,218
480291908002,144
480291909011,876
480291909012,815
480291909013,374
480291909014,431
480291909015,486
480291909021,606
480291909022,155
480291909023,236
480291910031,326
480291910032,326
480291910033,134
480291910034,159
480291910035,198
480291910041,198
480291910042,463
480291910043,198
480291910051,463
480291910052,463
480291910061,271
480291910062,159
480291910063,198
480291910064,159
480291910065,271
480291911011,444
480291911012,476
480291911021,413
480291911022,259
480291911023,326
480291912011,265
480291912012,316
480291912013,316
480291912021,478
480291912022,815
480291912023,406
480291912024,361
480291913031,211
480291913041,815
480291913042,815
480291914051,296
480291914052,195
480291914053,134
480291914054,134
480291914055,134
480291914061,101
480291914062,67
480291914063,101
480291914081,169
480291914082,169
480291914091,331
480291914092,226
480291914101,169
480291914102,169
480291914103,169
480291914111,70
480291914112,34
480291914121,67
480291914131,101
480291914132,101
480291915031,222
480291915032,67
480291915033,34
480291915041,67
480291915042,134
480291915051,222
480291915052,261
480291915061,134
480291915062,226
480291915063,134
480291917011,115
480291917021,101
480291917022,292
480291917023,34
480291917024,105
480291918062,101
480291918063,67
480291918072,281
480291918081,67
480291918082,96
480291918121,67
480291918122,67
480291918131,81
480291918132,83
480291918152,99
480291918161,133
480291918162,131
480291918171,234
480291918172,182
480291919001,1839
480291919002,543
480291919003,1122
480291919004,843
480291919005,576
480291920001,637
480291920002,497
480291920003,370
480291920004,466
480291920005,44
480291921001,3258
480291921002,1185
480291922001,716
480291922002,428
480291923001,290
480291923002,98
480291923004,85
480299800021,516
480299800031,124
480299800041,492
480299801001,519
