block_group,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E
480291316121,944.0,914.0,811.0,103.0,6.0,6.0
480291316141,1805.0,1697.0,1312.0,385.0,38.0,47.0
480291316152,1149.0,1111.0,988.0,123.0,0.0,38.0
480291318011,707.0,661.0,602.0,59.0,4.0,42.0
480291318022,310.0,301.0,301.0,0.0,0.0,0.0
480291411012,362.0,266.0,189.0,77.0,74.0,0.0
480291522022,627.0,586.0,464.0,122.0,0.0,41.0
480291411022,223.0,206.0,133.0,73.0,0.0,0.0
480291414031,689.0,630.0,527.0,103.0,0.0,28.0
480291414042,990.0,835.0,792.0,43.0,142.0,13.0
480291605013,205.0,180.0,133.0,47.0,5.0,0.0
480291605023,415.0,403.0,264.0,139.0,0.0,0.0
480291609012,452.0,430.0,369.0,61.0,12.0,10.0
480291609022,609.0,549.0,426.0,123.0,53.0,0.0
480291613031,1109.0,1032.0,929.0,103.0,8.0,47.0
480291613042,979.0,909.0,788.0,121.0,18.0,33.0
480291615032,571.0,465.0,363.0,102.0,106.0,0.0
480291615042,1077.0,1070.0,841.0,229.0,6.0,1.0
480291618021,2696.0,2567.0,2176.0,391.0,35.0,58.0
480291619021,500.0,500.0,399.0,101.0,0.0,0.0
480291620031,1002.0,982.0,820.0,162.0,0.0,13.0
480291620041,616.0,505.0,382.0,123.0,0.0,94.0
480291713012,599.0,571.0,473.0,98.0,23.0,5.0
480291716012,402.0,369.0,263.0,106.0,33.0,0.0
480291716022,231.0,225.0,204.0,21.0,6.0,0.0
480291719122,1139.0,1089.0,896.0,193.0,0.0,50.0
480291719141,730.0,673.0,620.0,53.0,0.0,0.0
480291719151,837.0,793.0,646.0,147.0,7.0,33.0
480291719163,1552.0,1503.0,1395.0,108.0,34.0,15.0
480291719181,698.0,670.0,602.0,68.0,0.0,7.0
480291215044,1504.0,1303.0,1205.0,98.0,76.0,125.0
480291215064,436.0,366.0,316.0,50.0,0.0,47.0
480291216061,314.0,298.0,240.0,58.0,0.0,16.0
480291216064,336.0,323.0,293.0,30.0,0.0,13.0
480291217013,253.0,242.0,219.0,23.0,0.0,11.0
480291217022,496.0,454.0,439.0,15.0,0.0,42.0
480291218082,1427.0,1369.0,1230.0,139.0,11.0,47.0
480291218093,932.0,890.0,816.0,74.0,0.0,34.0
480291218111,2302.0,2195.0,1917.0,278.0,23.0,53.0
480291218122,592.0,573.0,570.0,3.0,0.0,19.0
480291218131,951.0,928.0,907.0,21.0,0.0,9.0
480291219041,565.0,490.0,467.0,23.0,0.0,75.0
480291219052,2098.0,1955.0,1637.0,318.0,14.0,80.0
480291219071,713.0,665.0,638.0,27.0,0.0,29.0
480291211085,1041.0,929.0,869.0,60.0,33.0,64.0
480291211191,438.0,416.0,333.0,83.0,0.0,22.0
480291211201,1441.0,1298.0,1230.0,68.0,75.0,0.0
480291207013,542.0,385.0,352.0,33.0,0.0,0.0
480291215043,1020.0,967.0,715.0,252.0,0.0,53.0
480291503002,582.0,468.0,284.0,184.0,40.0,0.0
480291418003,916.0,865.0,624.0,241.0,0.0,44.0
480291508001,407.0,367.0,297.0,70.0,35.0,0.0
480291712001,471.0,408.0,245.0,163.0,40.0,8.0
480291712002,436.0,364.0,354.0,10.0,10.0,62.0
480291512004,301.0,278.0,251.0,27.0,0.0,23.0
480291904002,1087.0,609.0,529.0,80.0,8.0,95.0
480291817121,1395.0,1246.0,1181.0,65.0,1.0,146.0
480291816024,837.0,795.0,759.0,36.0,20.0,15.0
480291816022,721.0,650.0,545.0,105.0,39.0,0.0
480291314022,840.0,811.0,695.0,116.0,9.0,20.0
480291719183,1431.0,1309.0,1130.0,179.0,0.0,83.0
480291719201,1776.0,1456.0,1244.0,212.0,74.0,133.0
480291719212,758.0,725.0,632.0,93.0,0.0,17.0
480291719231,808.0,808.0,650.0,158.0,0.0,0.0
480291719234,2646.0,2464.0,2347.0,117.0,71.0,82.0
480291719251,507.0,437.0,399.0,38.0,27.0,43.0
480291719253,1992.0,1844.0,1744.0,100.0,11.0,64.0
480291720023,2510.0,2224.0,1644.0,580.0,0.0,165.0
480291720041,1754.0,1555.0,1437.0,118.0,11.0,182.0
480291720061,1868.0,1783.0,1465.0,318.0,0.0,53.0
480291720071,2318.0,2219.0,1966.0,253.0,0.0,88.0
480291801011,511.0,511.0,464.0,47.0,0.0,0.0
480291714011,1019.0,959.0,891.0,68.0,27.0,9.0
480291714022,284.0,261.0,261.0,0.0,23.0,0.0
480291715012,501.0,424.0,416.0,8.0,56.0,10.0
480291715023,811.0,695.0,619.0,76.0,15.0,0.0
480291917011,360.0,323.0,295.0,28.0,0.0,22.0
480291917022,762.0,706.0,616.0,90.0,0.0,56.0
480291918043,1109.0,1018.0,915.0,103.0,0.0,79.0
480291918111,1813.0,1650.0,1566.0,84.0,0.0,131.0
480291918063,2632.0,2231.0,2029.0,202.0,0.0,211.0
480291918081,1464.0,1307.0,1215.0,92.0,0.0,129.0
480291918092,1281.0,1098.0,1031.0,67.0,13.0,170.0
480291918131,2302.0,1991.0,1855.0,136.0,0.0,259.0
480291817252,1200.0,1159.0,884.0,275.0,30.0,11.0
480291817263,1728.0,1529.0,1423.0,106.0,17.0,102.0
480291817281,3386.0,3037.0,2451.0,586.0,0.0,244.0
480291817301,525.0,508.0,499.0,9.0,0.0,9.0
480291817312,1218.0,1181.0,1137.0,44.0,18.0,19.0
480291818112,236.0,226.0,226.0,0.0,0.0,10.0
480291818132,1322.0,1281.0,1129.0,152.0,0.0,0.0
480291818142,1845.0,1703.0,1617.0,86.0,0.0,50.0
480291818161,589.0,527.0,484.0,43.0,8.0,54.0
480291818172,466.0,457.0,433.0,24.0,0.0,9.0
480291818183,1378.0,1245.0,1234.0,11.0,133.0,0.0
480291818201,1044.0,408.0,279.0,129.0,7.0,169.0
480291818212,1503.0,1414.0,1251.0,163.0,17.0,61.0
480291818223,1212.0,1054.0,974.0,80.0,20.0,37.0
480291905032,615.0,503.0,487.0,16.0,60.0,18.0
480291905042,706.0,657.0,611.0,46.0,19.0,30.0
480291906041,577.0,479.0,384.0,95.0,23.0,29.0
480291910051,463.0,411.0,339.0,72.0,34.0,6.0
480291910062,731.0,596.0,543.0,53.0,0.0,0.0
480291801013,463.0,392.0,377.0,15.0,35.0,0.0
480291801016,270.0,261.0,261.0,0.0,9.0,0.0
480291806031,1047.0,974.0,886.0,88.0,21.0,3.0
480291806043,375.0,360.0,360.0,0.0,0.0,15.0
480291807026,977.0,845.0,764.0,81.0,84.0,0.0
480291814031,953.0,831.0,654.0,177.0,23.0,52.0
480291814041,2156.0,1810.0,1655.0,155.0,27.0,0.0
480291815044,865.0,830.0,745.0,85.0,0.0,24.0
480291817154,1170.0,1137.0,804.0,333.0,0.0,33.0
480291820022,246.0,225.0,225.0,0.0,0.0,21.0
480291820031,1625.0,1530.0,1411.0,119.0,0.0,68.0
480291821013,1480.0,1180.0,1096.0,84.0,20.0,245.0
480291821051,1241.0,1125.0,1054.0,71.0,0.0,103.0
480291910065,265.0,251.0,231.0,20.0,0.0,14.0
480291912013,189.0,127.0,109.0,18.0,19.0,43.0
480291918141,1389.0,1281.0,1195.0,86.0,0.0,68.0
480291918152,970.0,914.0,883.0,31.0,0.0,50.0
480291918171,4267.0,3991.0,3488.0,503.0,0.0,139.0
480291919002,508.0,478.0,299.0,179.0,30.0,0.0
480291919005,385.0,355.0,186.0,169.0,21.0,0.0
480291920003,965.0,846.0,813.0,33.0,71.0,0.0
480291921001,715.0,555.0,554.0,1.0,22.0,91.0
480291922002,406.0,303.0,280.0,23.0,46.0,0.0
