block_group,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E
480291211111,594.0,472.0,17.0,35.0,70.0,0.0,338.0,233.0,0.0,35.0,70.0,0.0,256.0,239.0,17.0,0.0,0.0,0.0
480291211112,1019.0,689.0,57.0,131.0,142.0,0.0,553.0,366.0,26.0,113.0,48.0,0.0,466.0,323.0,31.0,18.0,94.0,0.0
480291211114,902.0,702.0,54.0,140.0,6.0,0.0,448.0,393.0,0.0,55.0,0.0,0.0,454.0,309.0,54.0,85.0,6.0,0.0
480291211161,979.0,724.0,91.0,97.0,67.0,0.0,503.0,359.0,51.0,42.0,51.0,0.0,476.0,365.0,40.0,55.0,16.0,0.0
480291211164,882.0,694.0,0.0,135.0,53.0,0.0,366.0,265.0,0.0,59.0,42.0,0.0,516.0,429.0,0.0,76.0,11.0,0.0
480291211162,158.0,72.0,44.0,15.0,27.0,0.0,79.0,42.0,10.0,15.0,12.0,0.0,79.0,30.0,34.0,0.0,15.0,0.0
480291211181,918.0,391.0,27.0,308.0,192.0,0.0,547.0,321.0,0.0,101.0,125.0,0.0,371.0,70.0,27.0,207.0,67.0,0.0
480291211182,1721.0,1395.0,22.0,271.0,33.0,0.0,891.0,798.0,0.0,60.0,33.0,0.0,830.0,597.0,22.0,211.0,0.0,0.0
480291212031,271.0,205.0,0.0,56.0,10.0,0.0,196.0,139.0,0.0,47.0,10.0,0.0,75.0,66.0,0.0,9.0,0.0,0.0
480291212032,690.0,578.0,36.0,33.0,22.0,21.0,398.0,342.0,0.0,23.0,12.0,21.0,292.0,236.0,36.0,10.0,10.0,0.0
480291212051,1500.0,1307.0,62.0,110.0,21.0,0.0,814.0,709.0,23.0,61.0,21.0,0.0,686.0,598.0,39.0,49.0,0.0,0.0
480291817182,953.0,671.0,32.0,216.0,34.0,0.0,511.0,392.0,9.0,91.0,19.0,0.0,442.0,279.0,23.0,125.0,15.0,0.0
480291818111,1824.0,1325.0,159.0,283.0,57.0,0.0,985.0,776.0,93.0,110.0,6.0,0.0,839.0,549.0,66.0,173.0,51.0,0.0
480291902003,602.0,350.0,103.0,134.0,15.0,0.0,245.0,114.0,74.0,57.0,0.0,0.0,357.0,236.0,29.0,77.0,15.0,0.0
480291902004,390.0,333.0,17.0,40.0,0.0,0.0,211.0,209.0,2.0,0.0,0.0,0.0,179.0,124.0,15.0,40.0,0.0,0.0
480291902001,349.0,206.0,4.0,85.0,54.0,0.0,172.0,77.0,4.0,47.0,44.0,0.0,177.0,129.0,0.0,38.0,10.0,0.0
480291802021,415.0,329.0,32.0,54.0,0.0,0.0,203.0,183.0,0.0,20.0,0.0,0.0,212.0,146.0,32.0,34.0,0.0,0.0
480291802023,560.0,461.0,11.0,88.0,0.0,0.0,311.0,244.0,11.0,56.0,0.0,0.0,249.0,217.0,0.0,32.0,0.0,0.0
480291805013,439.0,295.0,26.0,107.0,11.0,0.0,210.0,97.0,9.0,97.0,7.0,0.0,229.0,198.0,17.0,10.0,4.0,0.0
480291805012,273.0,186.0,21.0,66.0,0.0,0.0,156.0,127.0,4.0,25.0,0.0,0.0,117.0,59.0,17.0,41.0,0.0,0.0
480291805011,727.0,617.0,18.0,37.0,55.0,0.0,488.0,421.0,8.0,4.0,55.0,0.0,239.0,196.0,10.0,33.0,0.0,0.0
480291808002,591.0,383.0,74.0,60.0,74.0,0.0,333.0,192.0,58.0,15.0,68.0,0.0,258.0,191.0,16.0,45.0,6.0,0.0
480291808001,396.0,357.0,7.0,8.0,24.0,0.0,193.0,161.0,0.0,8.0,24.0,0.0,203.0,196.0,7.0,0.0,0.0,0.0
480291708002,314.0,265.0,31.0,13.0,5.0,0.0,133.0,128.0,0.0,0.0,5.0,0.0,181.0,137.0,31.0,13.0,0.0,0.0
480291106002,489.0,390.0,30.0,14.0,55.0,0.0,149.0,87.0,19.0,0.0,43.0,0.0,340.0,303.0,11.0,14.0,12.0,0.0
480291504001,173.0,148.0,0.0,0.0,25.0,0.0,67.0,42.0,0.0,0.0,25.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0
480291504002,301.0,282.0,0.0,0.0,19.0,0.0,189.0,170.0,0.0,0.0,19.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0
480291510001,480.0,278.0,32.0,71.0,99.0,0.0,304.0,140.0,25.0,40.0,99.0,0.0,176.0,138.0,7.0,31.0,0.0,0.0
480291521002,506.0,387.0,24.0,29.0,58.0,8.0,298.0,240.0,12.0,7.0,31.0,8.0,208.0,147.0,12.0,22.0,27.0,0.0
480291521001,476.0,362.0,8.0,100.0,6.0,0.0,194.0,172.0,0.0,22.0,0.0,0.0,282.0,190.0,8.0,78.0,6.0,0.0
480291607024,323.0,272.0,43.0,8.0,0.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,161.0,110.0,43.0,8.0,0.0,0.0
480291607023,449.0,341.0,0.0,73.0,35.0,0.0,185.0,177.0,0.0,8.0,0.0,0.0,264.0,164.0,0.0,65.0,35.0,0.0
480291616002,1136.0,963.0,18.0,104.0,28.0,23.0,617.0,505.0,13.0,71.0,28.0,0.0,519.0,458.0,5.0,33.0,0.0,23.0
480291616001,802.0,533.0,40.0,165.0,47.0,17.0,321.0,175.0,3.0,79.0,47.0,17.0,481.0,358.0,37.0,86.0,0.0,0.0
480291216012,650.0,466.0,30.0,124.0,30.0,0.0,343.0,275.0,12.0,39.0,17.0,0.0,307.0,191.0,18.0,85.0,13.0,0.0
480291216013,743.0,672.0,19.0,35.0,17.0,0.0,417.0,381.0,0.0,19.0,17.0,0.0,326.0,291.0,19.0,16.0,0.0,0.0
480291216014,429.0,376.0,20.0,15.0,18.0,0.0,178.0,160.0,0.0,0.0,18.0,0.0,251.0,216.0,20.0,15.0,0.0,0.0
480291218021,1027.0,809.0,51.0,124.0,43.0,0.0,595.0,480.0,0.0,72.0,43.0,0.0,432.0,329.0,51.0,52.0,0.0,0.0
480291218023,1826.0,1443.0,43.0,222.0,118.0,0.0,861.0,684.0,13.0,81.0,83.0,0.0,965.0,759.0,30.0,141.0,35.0,0.0
480291303002,428.0,428.0,0.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,265.0,265.0,0.0,0.0,0.0,0.0
480291303001,255.0,198.0,0.0,0.0,57.0,0.0,154.0,97.0,0.0,0.0,57.0,0.0,101.0,101.0,0.0,0.0,0.0,0.0
480291307002,373.0,243.0,1.0,92.0,37.0,0.0,257.0,192.0,1.0,36.0,28.0,0.0,116.0,51.0,0.0,56.0,9.0,0.0
480291307001,462.0,377.0,9.0,44.0,32.0,0.0,197.0,158.0,0.0,7.0,32.0,0.0,265.0,219.0,9.0,37.0,0.0,0.0
480291702004,378.0,332.0,30.0,16.0,0.0,0.0,234.0,208.0,26.0,0.0,0.0,0.0,144.0,124.0,4.0,16.0,0.0,0.0
480291702006,393.0,303.0,30.0,31.0,29.0,0.0,145.0,123.0,0.0,0.0,22.0,0.0,248.0,180.0,30.0,31.0,7.0,0.0
480291702002,334.0,271.0,23.0,40.0,0.0,0.0,191.0,181.0,0.0,10.0,0.0,0.0,143.0,90.0,23.0,30.0,0.0,0.0
480291702005,115.0,110.0,0.0,5.0,0.0,0.0,63.0,58.0,0.0,5.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0
480291702001,290.0,175.0,21.0,59.0,35.0,0.0,124.0,77.0,0.0,12.0,35.0,0.0,166.0,98.0,21.0,47.0,0.0,0.0
480291316011,371.0,247.0,8.0,73.0,43.0,0.0,193.0,159.0,0.0,10.0,24.0,0.0,178.0,88.0,8.0,63.0,19.0,0.0
480291317001,163.0,103.0,6.0,52.0,2.0,0.0,89.0,52.0,0.0,36.0,1.0,0.0,74.0,51.0,6.0,16.0,1.0,0.0
480291412004,240.0,153.0,16.0,45.0,26.0,0.0,76.0,50.0,0.0,0.0,26.0,0.0,164.0,103.0,16.0,45.0,0.0,0.0
480291412001,584.0,552.0,0.0,0.0,32.0,0.0,366.0,334.0,0.0,0.0,32.0,0.0,218.0,218.0,0.0,0.0,0.0,0.0
480291412005,630.0,442.0,31.0,157.0,0.0,0.0,290.0,265.0,0.0,25.0,0.0,0.0,340.0,177.0,31.0,132.0,0.0,0.0
480291412002,533.0,360.0,33.0,100.0,40.0,0.0,264.0,191.0,33.0,0.0,40.0,0.0,269.0,169.0,0.0,100.0,0.0,0.0
480291501003,414.0,286.0,57.0,63.0,8.0,0.0,200.0,141.0,37.0,22.0,0.0,0.0,214.0,145.0,20.0,41.0,8.0,0.0
480291309002,393.0,330.0,0.0,37.0,26.0,0.0,203.0,169.0,0.0,8.0,26.0,0.0,190.0,161.0,0.0,29.0,0.0,0.0
480291309003,436.0,326.0,25.0,56.0,29.0,0.0,202.0,145.0,0.0,39.0,18.0,0.0,234.0,181.0,25.0,17.0,11.0,0.0
480291310003,367.0,306.0,42.0,8.0,11.0,0.0,110.0,91.0,19.0,0.0,0.0,0.0,257.0,215.0,23.0,8.0,11.0,0.0
480291310004,251.0,172.0,11.0,38.0,30.0,0.0,135.0,101.0,4.0,0.0,30.0,0.0,116.0,71.0,7.0,38.0,0.0,0.0
480291310001,914.0,751.0,36.0,58.0,69.0,0.0,439.0,289.0,31.0,58.0,61.0,0.0,475.0,462.0,5.0,0.0,8.0,0.0
480291310002,273.0,199.0,24.0,19.0,31.0,0.0,116.0,81.0,19.0,0.0,16.0,0.0,157.0,118.0,5.0,19.0,15.0,0.0
480291405003,567.0,466.0,12.0,69.0,20.0,0.0,302.0,245.0,0.0,48.0,9.0,0.0,265.0,221.0,12.0,21.0,11.0,0.0
480291405002,698.0,540.0,134.0,9.0,15.0,0.0,268.0,227.0,17.0,9.0,15.0,0.0,430.0,313.0,117.0,0.0,0.0,0.0
480291405001,403.0,268.0,15.0,68.0,52.0,0.0,165.0,136.0,0.0,24.0,5.0,0.0,238.0,132.0,15.0,44.0,47.0,0.0
480291405004,302.0,205.0,34.0,54.0,9.0,0.0,117.0,80.0,8.0,23.0,6.0,0.0,185.0,125.0,26.0,31.0,3.0,0.0
480291406002,420.0,303.0,44.0,45.0,28.0,0.0,218.0,157.0,27.0,20.0,14.0,0.0,202.0,146.0,17.0,25.0,14.0,0.0
480291406001,846.0,659.0,46.0,90.0,46.0,5.0,494.0,402.0,22.0,39.0,31.0,0.0,352.0,257.0,24.0,51.0,15.0,5.0
480291407003,262.0,163.0,22.0,77.0,0.0,0.0,131.0,120.0,11.0,0.0,0.0,0.0,131.0,43.0,11.0,77.0,0.0,0.0
480291407001,506.0,417.0,0.0,89.0,0.0,0.0,278.0,249.0,0.0,29.0,0.0,0.0,228.0,168.0,0.0,60.0,0.0,0.0
480291407004,389.0,348.0,0.0,41.0,0.0,0.0,189.0,178.0,0.0,11.0,0.0,0.0,200.0,170.0,0.0,30.0,0.0,0.0
480291407005,576.0,505.0,53.0,18.0,0.0,0.0,334.0,334.0,0.0,0.0,0.0,0.0,242.0,171.0,53.0,18.0,0.0,0.0
480291413001,432.0,345.0,13.0,52.0,22.0,0.0,184.0,162.0,0.0,0.0,22.0,0.0,248.0,183.0,13.0,52.0,0.0,0.0
480291413003,1569.0,1288.0,51.0,197.0,33.0,0.0,876.0,722.0,34.0,92.0,28.0,0.0,693.0,566.0,17.0,105.0,5.0,0.0
480291702003,383.0,371.0,12.0,0.0,0.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,259.0,247.0,12.0,0.0,0.0,0.0
480291806023,383.0,299.0,22.0,52.0,10.0,0.0,166.0,98.0,14.0,44.0,10.0,0.0,217.0,201.0,8.0,8.0,0.0,0.0
480291806021,423.0,243.0,71.0,56.0,53.0,0.0,208.0,164.0,0.0,12.0,32.0,0.0,215.0,79.0,71.0,44.0,21.0,0.0
