block_group,B08134_001E,B08134_003E_M,B08134_006E_M,B08134_009E_M,B08134_010E,B08134_011E,B08134_013E_M,B08134_016E_M,B08134_019E_M,B08134_020E,B08134_071E,B08134_073E_M,B08134_076E_M,B08134_079E_M,B08134_080E
480291211181,776.0,171.0,188.0,356.0,61.0,776.0,171.0,188.0,356.0,61.0,0.0,0.0,0.0,0.0,0.0
480291211182,1666.0,360.0,960.0,334.0,12.0,1654.0,360.0,960.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0
480291212031,271.0,11.0,191.0,58.0,11.0,271.0,11.0,191.0,58.0,11.0,0.0,0.0,0.0,0.0,0.0
480291212032,639.0,246.0,325.0,56.0,12.0,607.0,214.0,325.0,56.0,12.0,32.0,32.0,0.0,0.0,0.0
480291212051,1430.0,341.0,814.0,140.0,135.0,1323.0,314.0,805.0,140.0,64.0,98.0,27.0,0.0,0.0,71.0
480291817182,895.0,116.0,343.0,366.0,70.0,895.0,116.0,343.0,366.0,70.0,0.0,0.0,0.0,0.0,0.0
480291818111,1704.0,451.0,616.0,479.0,158.0,1485.0,316.0,586.0,425.0,158.0,30.0,9.0,0.0,21.0,0.0
480291902003,602.0,352.0,177.0,42.0,31.0,502.0,321.0,154.0,27.0,0.0,75.0,6.0,23.0,15.0,31.0
480291902004,343.0,207.0,97.0,39.0,0.0,343.0,207.0,97.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
480291902001,279.0,181.0,81.0,17.0,0.0,232.0,181.0,42.0,9.0,0.0,8.0,0.0,0.0,8.0,0.0
480291802021,403.0,56.0,95.0,189.0,63.0,345.0,56.0,80.0,146.0,63.0,58.0,0.0,15.0,43.0,0.0
480291802023,541.0,110.0,337.0,60.0,34.0,480.0,83.0,337.0,60.0,0.0,33.0,13.0,0.0,0.0,20.0
480291805013,423.0,87.0,175.0,114.0,47.0,423.0,87.0,175.0,114.0,47.0,0.0,0.0,0.0,0.0,0.0
