block_group,C17002_001E,C17002_002E,C17002_003E,C17002_005E_M,C17002_007E_M,C17002_008E
480291406001,1934.0,171.0,250.0,395.0,327.0,791.0
480291407003,717.0,84.0,190.0,190.0,10.0,243.0
480291407001,1043.0,22.0,0.0,31.0,23.0,967.0
480291407004,733.0,32.0,100.0,147.0,98.0,356.0
480291407005,1170.0,79.0,202.0,147.0,195.0,547.0
480291413001,946.0,88.0,99.0,291.0,120.0,348.0
480291413003,3059.0,273.0,159.0,419.0,417.0,1791.0
480291702003,1297.0,294.0,444.0,193.0,147.0,219.0
480291806023,825.0,24.0,33.0,17.0,88.0,663.0
480291806021,590.0,25.0,0.0,66.0,60.0,439.0
480291911021,709.0,0.0,10.0,28.0,43.0,628.0
480291911022,918.0,20.0,102.0,16.0,42.0,738.0
480291911023,958.0,51.0,0.0,96.0,30.0,781.0
480291209012,1424.0,121.0,188.0,228.0,149.0,738.0
480291209011,894.0,112.0,128.0,55.0,1.0,598.0
480291211122,1331.0,189.0,8.0,111.0,67.0,956.0
480291519001,1841.0,87.0,495.0,164.0,179.0,916.0
480291409002,1052.0,77.0,257.0,60.0,65.0,593.0
480291417001,2815.0,53.0,251.0,522.0,198.0,1791.0
480291417002,2870.0,90.0,63.0,381.0,364.0,1972.0
480291505012,1341.0,49.0,366.0,313.0,20.0,593.0
480291505014,1113.0,112.0,147.0,186.0,174.0,494.0
480291604002,1922.0,305.0,499.0,246.0,124.0,748.0
480291604004,750.0,68.0,35.0,70.0,150.0,427.0
480291604001,1023.0,3.0,73.0,18.0,27.0,902.0
480291604003,1162.0,208.0,355.0,99.0,169.0,331.0
480291611005,1688.0,128.0,433.0,135.0,135.0,857.0
480291611006,455.0,122.0,14.0,41.0,17.0,261.0
480291611001,3154.0,137.0,345.0,727.0,355.0,1590.0
480291611004,1480.0,17.0,244.0,312.0,164.0,743.0
480291611003,1095.0,0.0,19.0,655.0,258.0,163.0
480291611002,851.0,63.0,85.0,149.0,142.0,412.0
480291813012,1509.0,54.0,84.0,133.0,211.0,1027.0
480291813011,3152.0,418.0,262.0,207.0,172.0,2093.0
480291814021,767.0,232.0,45.0,56.0,71.0,363.0
480291814022,1577.0,640.0,56.0,57.0,104.0,720.0
480291109001,1498.0,96.0,111.0,120.0,124.0,1047.0
480291110003,1040.0,82.0,94.0,176.0,51.0,637.0
480291110002,703.0,104.0,123.0,194.0,111.0,171.0
480291204001,1188.0,0.0,0.0,0.0,0.0,1188.0
480291204005,1165.0,17.0,0.0,139.0,20.0,989.0
480291710004,1845.0,148.0,496.0,553.0,286.0,362.0
480291204003,1085.0,0.0,0.0,122.0,0.0,963.0
480291207021,2543.0,80.0,110.0,414.0,171.0,1768.0
480291704014,785.0,138.0,223.0,74.0,109.0,241.0
480291710001,973.0,117.0,162.0,325.0,25.0,344.0
480291710002,892.0,0.0,369.0,191.0,29.0,303.0
480291717001,2257.0,71.0,208.0,978.0,252.0,748.0
480291717003,897.0,2.0,316.0,18.0,45.0,516.0
480291215013,2923.0,226.0,288.0,131.0,183.0,2095.0
480291215011,2062.0,74.0,132.0,217.0,45.0,1594.0
480291215074,1341.0,90.0,22.0,45.0,525.0,659.0
480291215071,1038.0,39.0,53.0,67.0,201.0,678.0
480291215072,1367.0,19.0,61.0,68.0,366.0,853.0
480291312002,1272.0,215.0,39.0,103.0,242.0,673.0
480291401002,674.0,24.0,82.0,119.0,104.0,345.0
480291401001,673.0,142.0,34.0,31.0,33.0,433.0
480291404004,703.0,196.0,46.0,29.0,139.0,293.0
480291101002,694.0,30.0,71.0,36.0,52.0,505.0
480291209022,1646.0,82.0,72.0,93.0,75.0,1324.0
480291209021,1918.0,99.0,260.0,356.0,378.0,825.0
480291214033,1806.0,58.0,147.0,43.0,439.0,1119.0
480291214031,2342.0,167.0,395.0,425.0,358.0,997.0
480291216042,1308.0,15.0,42.0,147.0,117.0,987.0
480291216043,868.0,55.0,0.0,23.0,0.0,790.0
480291306004,1315.0,264.0,360.0,238.0,167.0,286.0
480291207022,837.0,45.0,30.0,88.0,0.0,674.0
480291213003,732.0,0.0,100.0,161.0,25.0,446.0
480291213001,2998.0,100.0,84.0,168.0,115.0,2531.0
480291703004,628.0,196.0,68.0,163.0,38.0,163.0
480291703002,267.0,0.0,35.0,47.0,30.0,155.0
480291703006,946.0,47.0,198.0,147.0,116.0,438.0
480291703005,1654.0,228.0,268.0,457.0,174.0,527.0
480291703003,1127.0,473.0,128.0,82.0,248.0,196.0
480291704024,596.0,161.0,0.0,64.0,100.0,271.0
480291704021,2193.0,227.0,775.0,388.0,242.0,561.0
480291706001,1260.0,68.0,186.0,246.0,166.0,594.0
480291706004,882.0,34.0,49.0,114.0,47.0,638.0
480291706003,1154.0,7.0,81.0,172.0,214.0,680.0
480291707003,2594.0,241.0,400.0,510.0,524.0,919.0
480291707002,1112.0,72.0,177.0,139.0,56.0,668.0
480291212044,1306.0,159.0,27.0,103.0,185.0,832.0
480291212043,1031.0,87.0,0.0,151.0,259.0,534.0
480291404001,882.0,2.0,34.0,219.0,255.0,372.0
480291404002,1089.0,74.0,99.0,41.0,117.0,758.0
480291504003,2845.0,43.0,694.0,298.0,163.0,1647.0
480291215052,745.0,0.0,48.0,38.0,28.0,631.0
480291403002,1209.0,286.0,190.0,233.0,195.0,305.0
480291403003,1235.0,43.0,349.0,377.0,144.0,322.0
480291520001,2672.0,513.0,279.0,321.0,188.0,1371.0
480291701011,846.0,150.0,91.0,86.0,109.0,410.0
480291701012,1518.0,59.0,288.0,302.0,380.0,489.0
480291718022,1175.0,188.0,87.0,208.0,81.0,611.0
480291718025,733.0,116.0,32.0,207.0,130.0,248.0
480291718023,1536.0,178.0,195.0,395.0,0.0,768.0
480291408004,881.0,340.0,86.0,98.0,207.0,150.0
480291408001,1334.0,43.0,433.0,47.0,240.0,571.0
480291408005,1497.0,38.0,173.0,686.0,235.0,365.0
480291408003,423.0,10.0,135.0,84.0,95.0,99.0
480291408002,1356.0,205.0,299.0,177.0,162.0,513.0
480291505023,1004.0,78.0,15.0,145.0,276.0,490.0
480291505022,1250.0,54.0,186.0,87.0,333.0,590.0
480291505021,1171.0,184.0,336.0,57.0,203.0,391.0
480291507006,359.0,16.0,78.0,99.0,9.0,157.0
480291507001,923.0,39.0,162.0,206.0,26.0,490.0
480291507003,1503.0,98.0,8.0,381.0,453.0,563.0
480291601004,2448.0,421.0,824.0,452.0,443.0,308.0
480291601003,1631.0,587.0,505.0,300.0,181.0,58.0
480291601001,1296.0,383.0,138.0,140.0,286.0,349.0
480291813023,1967.0,182.0,42.0,130.0,530.0,1083.0
480291809021,1093.0,204.0,326.0,68.0,51.0,444.0
480291809023,1556.0,237.0,586.0,127.0,41.0,565.0
480291809022,1264.0,71.0,45.0,262.0,268.0,618.0
480291809025,1979.0,16.0,493.0,52.0,186.0,1232.0
480291810031,1914.0,152.0,406.0,402.0,266.0,688.0
480291810051,1875.0,255.0,298.0,188.0,257.0,877.0
