block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291412005,1188.0,70.0,70.0,0.0,0.0,0.0,1118.0
480291412002,1302.0,104.0,102.0,2.0,0.0,0.0,1198.0
480291501003,1162.0,127.0,19.0,0.0,0.0,108.0,1035.0
480291309002,1169.0,447.0,39.0,408.0,0.0,0.0,722.0
480291309003,1185.0,742.0,128.0,522.0,62.0,30.0,443.0
480291310003,880.0,607.0,30.0,577.0,0.0,0.0,273.0
480291310004,745.0,499.0,99.0,400.0,0.0,0.0,246.0
480291310001,2971.0,1453.0,146.0,1254.0,34.0,19.0,1518.0
480291310002,766.0,520.0,86.0,357.0,77.0,0.0,246.0
480291405003,1128.0,223.0,223.0,0.0,0.0,0.0,905.0
480291405002,1429.0,472.0,412.0,30.0,18.0,12.0,957.0
480291405001,831.0,91.0,80.0,11.0,0.0,0.0,740.0
480291405004,700.0,66.0,64.0,2.0,0.0,0.0,634.0
480291406002,894.0,124.0,118.0,6.0,0.0,0.0,770.0
480291406001,1934.0,215.0,63.0,97.0,46.0,9.0,1719.0
480291407003,717.0,215.0,155.0,60.0,0.0,0.0,502.0
480291407001,1043.0,136.0,130.0,0.0,0.0,6.0,907.0
480291407004,733.0,171.0,171.0,0.0,0.0,0.0,562.0
480291407005,1170.0,16.0,16.0,0.0,0.0,0.0,1154.0
480291413001,946.0,391.0,114.0,146.0,0.0,131.0,555.0
480291413003,3162.0,1327.0,371.0,811.0,48.0,97.0,1835.0
480291702003,1297.0,0.0,0.0,0.0,0.0,0.0,1297.0
480291806023,825.0,259.0,180.0,58.0,21.0,0.0,566.0
480291806021,590.0,136.0,112.0,0.0,24.0,0.0,454.0
480291911021,709.0,443.0,443.0,0.0,0.0,0.0,266.0
480291911022,932.0,351.0,308.0,27.0,16.0,0.0,581.0
480291911023,970.0,451.0,449.0,1.0,0.0,1.0,519.0
480291209012,1454.0,718.0,599.0,35.0,9.0,75.0,736.0
480291209011,894.0,491.0,471.0,10.0,0.0,10.0,403.0
480291211122,1331.0,859.0,732.0,47.0,16.0,64.0,472.0
480291519001,1892.0,37.0,37.0,0.0,0.0,0.0,1855.0
