block_group,B08303_001E,B08303_004E_M,B08303_007E_M,B08303_011E_M,B08303_013E_M
480291505012,439.0,54.0,240.0,85.0,60.0
480291505014,573.0,244.0,132.0,75.0,122.0
480291604002,712.0,30.0,367.0,213.0,102.0
480291604004,303.0,15.0,145.0,128.0,15.0
480291604001,499.0,52.0,346.0,91.0,10.0
480291604003,376.0,79.0,196.0,69.0,32.0
480291611005,716.0,104.0,178.0,247.0,187.0
480291611006,204.0,22.0,103.0,38.0,41.0
480291611001,1457.0,148.0,713.0,494.0,102.0
480291611004,840.0,149.0,531.0,52.0,108.0
480291611003,467.0,102.0,227.0,138.0,0.0
480291611002,302.0,135.0,107.0,60.0,0.0
480291813012,860.0,259.0,345.0,256.0,0.0
480291813011,1751.0,536.0,845.0,347.0,23.0
480291814021,393.0,89.0,269.0,35.0,0.0
480291814022,703.0,166.0,297.0,106.0,134.0
480291109001,1081.0,302.0,623.0,147.0,9.0
480291110003,692.0,280.0,310.0,65.0,37.0
480291110002,268.0,105.0,101.0,44.0,18.0
480291204001,781.0,285.0,257.0,162.0,77.0
480291204005,454.0,197.0,138.0,96.0,23.0
480291710004,569.0,127.0,191.0,251.0,0.0
480291204003,314.0,111.0,182.0,0.0,21.0
480291207021,1097.0,332.0,700.0,51.0,14.0
480291704014,298.0,62.0,178.0,38.0,20.0
480291710001,338.0,22.0,59.0,154.0,103.0
480291710002,184.0,8.0,117.0,59.0,0.0
480291717001,971.0,299.0,320.0,261.0,91.0
480291717003,376.0,115.0,180.0,81.0,0.0
480291215013,1383.0,320.0,764.0,229.0,70.0
480291215011,1269.0,156.0,890.0,223.0,0.0
480291215074,661.0,241.0,209.0,184.0,27.0
480291215071,395.0,11.0,202.0,172.0,10.0
480291215072,405.0,41.0,160.0,156.0,48.0
480291312002,549.0,173.0,175.0,193.0,8.0
480291401002,273.0,49.0,149.0,63.0,12.0
480291401001,328.0,82.0,141.0,91.0,14.0
480291404004,262.0,31.0,166.0,65.0,0.0
480291101002,380.0,116.0,211.0,39.0,14.0
480291209022,907.0,214.0,569.0,77.0,47.0
480291209021,1219.0,333.0,366.0,323.0,197.0
480291214033,944.0,275.0,397.0,207.0,65.0
480291214031,862.0,268.0,359.0,196.0,39.0
480291216042,624.0,71.0,227.0,248.0,78.0
480291216043,405.0,71.0,212.0,92.0,30.0
480291306004,331.0,64.0,140.0,127.0,0.0
480291207022,323.0,54.0,240.0,29.0,0.0
480291213003,286.0,11.0,206.0,55.0,14.0
480291213001,1413.0,379.0,605.0,403.0,26.0
480291703004,234.0,78.0,105.0,32.0,19.0
480291703002,147.0,8.0,88.0,51.0,0.0
480291703006,312.0,98.0,115.0,74.0,25.0
480291703005,718.0,121.0,388.0,209.0,0.0
480291703003,234.0,79.0,133.0,15.0,7.0
480291704024,220.0,44.0,138.0,0.0,38.0
480291704021,687.0,259.0,268.0,160.0,0.0
480291706001,656.0,306.0,222.0,128.0,0.0
480291706004,594.0,142.0,276.0,110.0,66.0
480291706003,589.0,86.0,301.0,169.0,33.0
480291707003,879.0,108.0,309.0,370.0,92.0
480291707002,432.0,105.0,226.0,74.0,27.0
480291212044,511.0,291.0,153.0,67.0,0.0
480291212043,498.0,59.0,224.0,173.0,42.0
480291404001,359.0,60.0,176.0,123.0,0.0
480291404002,586.0,218.0,266.0,76.0,26.0
480291504003,1244.0,248.0,696.0,211.0,89.0
480291215052,357.0,50.0,126.0,181.0,0.0
480291403002,450.0,101.0,241.0,108.0,0.0
480291403003,444.0,152.0,234.0,58.0,0.0
480291520001,1013.0,177.0,387.0,374.0,75.0
480291701011,322.0,101.0,81.0,52.0,88.0
480291701012,620.0,158.0,307.0,95.0,60.0
480291718022,569.0,136.0,404.0,29.0,0.0
480291718025,325.0,125.0,34.0,166.0,0.0
480291718023,675.0,118.0,219.0,265.0,73.0
480291408004,231.0,31.0,155.0,45.0,0.0
480291408001,665.0,150.0,356.0,150.0,9.0
480291408005,755.0,301.0,295.0,147.0,12.0
480291408003,215.0,41.0,103.0,63.0,8.0
480291408002,600.0,63.0,272.0,231.0,34.0
480291505023,400.0,94.0,217.0,30.0,59.0
480291505022,604.0,205.0,225.0,137.0,37.0
480291505021,475.0,73.0,289.0,113.0,0.0
480291507006,122.0,9.0,44.0,69.0,0.0
480291507001,363.0,102.0,153.0,108.0,0.0
480291507003,752.0,35.0,465.0,252.0,0.0
480291601004,771.0,221.0,381.0,123.0,46.0
480291601003,391.0,124.0,143.0,124.0,0.0
480291601001,450.0,158.0,107.0,185.0,0.0
480291813023,1127.0,399.0,431.0,280.0,17.0
480291809021,397.0,76.0,190.0,131.0,0.0
480291809023,756.0,99.0,556.0,101.0,0.0
480291809022,748.0,0.0,474.0,256.0,18.0
480291809025,972.0,359.0,485.0,111.0,17.0
480291810031,893.0,251.0,348.0,267.0,27.0
480291810051,910.0,176.0,398.0,231.0,105.0
480291810052,334.0,123.0,137.0,57.0,17.0
480291815061,258.0,27.0,160.0,57.0,14.0
480291815062,622.0,115.0,277.0,189.0,41.0
480291817151,544.0,109.0,71.0,313.0,51.0
480291203002,309.0,76.0,153.0,80.0,0.0
480291203003,628.0,264.0,280.0,61.0,23.0
480291203005,396.0,254.0,111.0,0.0,31.0
