block_group,B19001_001E,B19001_002E,B19001_005E_M,B19001_010E_M,B19001_013E_M,B19001_016E_M,B19001_017E
480291309002,429.0,44.0,185.0,83.0,98.0,19.0,0.0
480291309003,461.0,66.0,91.0,209.0,95.0,0.0,0.0
480291310003,236.0,7.0,87.0,69.0,48.0,25.0,0.0
480291310004,294.0,89.0,84.0,28.0,93.0,0.0,0.0
480291310001,955.0,258.0,316.0,139.0,220.0,4.0,18.0
480291310002,283.0,26.0,90.0,96.0,31.0,40.0,0.0
480291405003,450.0,13.0,45.0,130.0,193.0,69.0,0.0
480291405002,453.0,11.0,100.0,134.0,156.0,52.0,0.0
480291405001,286.0,20.0,37.0,162.0,57.0,10.0,0.0
480291405004,199.0,32.0,30.0,46.0,58.0,27.0,6.0
480291406002,284.0,36.0,47.0,83.0,86.0,32.0,0.0
480291406001,540.0,64.0,118.0,192.0,125.0,41.0,0.0
480291407003,373.0,132.0,78.0,118.0,45.0,0.0,0.0
480291407001,411.0,15.0,31.0,61.0,228.0,76.0,0.0
480291407004,267.0,32.0,31.0,59.0,124.0,21.0,0.0
480291407005,371.0,56.0,81.0,98.0,83.0,53.0,0.0
480291413001,374.0,44.0,92.0,116.0,122.0,0.0,0.0
480291413003,957.0,50.0,134.0,267.0,366.0,140.0,0.0
480291702003,292.0,44.0,86.0,106.0,56.0,0.0,0.0
480291806023,305.0,0.0,59.0,82.0,111.0,53.0,0.0
480291806021,265.0,25.0,79.0,48.0,59.0,54.0,0.0
480291911021,345.0,10.0,71.0,49.0,32.0,102.0,81.0
480291911022,332.0,10.0,42.0,47.0,147.0,74.0,12.0
480291911023,312.0,14.0,11.0,82.0,62.0,114.0,29.0
480291209012,676.0,86.0,188.0,150.0,165.0,61.0,26.0
480291209011,321.0,52.0,37.0,26.0,103.0,80.0,23.0
480291211122,621.0,29.0,63.0,85.0,354.0,69.0,21.0
480291519001,506.0,56.0,121.0,139.0,149.0,32.0,9.0
480291409002,338.0,39.0,109.0,74.0,103.0,13.0,0.0
480291417001,795.0,54.0,144.0,179.0,169.0,208.0,41.0
480291417002,759.0,80.0,20.0,132.0,332.0,184.0,11.0
480291505012,401.0,27.0,144.0,83.0,140.0,7.0,0.0
480291505014,290.0,23.0,56.0,94.0,105.0,12.0,0.0
480291604002,637.0,55.0,226.0,195.0,111.0,50.0,0.0
480291604004,237.0,25.0,41.0,67.0,87.0,17.0,0.0
480291604001,307.0,8.0,67.0,63.0,90.0,70.0,9.0
480291604003,304.0,54.0,87.0,49.0,109.0,5.0,0.0
480291611005,377.0,38.0,53.0,113.0,130.0,43.0,0.0
480291611006,164.0,17.0,42.0,51.0,54.0,0.0,0.0
480291611001,916.0,51.0,136.0,316.0,315.0,98.0,0.0
480291611004,429.0,0.0,187.0,58.0,97.0,87.0,0.0
480291611003,264.0,0.0,35.0,221.0,8.0,0.0,0.0
480291611002,362.0,14.0,159.0,84.0,105.0,0.0,0.0
480291813012,726.0,36.0,64.0,210.0,244.0,147.0,25.0
480291813011,1211.0,114.0,140.0,300.0,471.0,161.0,25.0
480291814021,423.0,82.0,101.0,91.0,95.0,54.0,0.0
480291814022,718.0,212.0,92.0,153.0,212.0,40.0,9.0
480291109001,910.0,73.0,86.0,99.0,326.0,214.0,112.0
480291110003,529.0,37.0,83.0,126.0,175.0,43.0,65.0
480291110002,284.0,13.0,119.0,45.0,75.0,32.0,0.0
480291204001,471.0,0.0,0.0,11.0,162.0,225.0,73.0
480291204005,420.0,0.0,0.0,88.0,63.0,66.0,203.0
480291710004,450.0,57.0,139.0,183.0,25.0,46.0,0.0
480291204003,301.0,0.0,0.0,12.0,31.0,97.0,161.0
480291207021,1427.0,100.0,223.0,194.0,424.0,195.0,291.0
480291704014,287.0,50.0,82.0,130.0,25.0,0.0,0.0
480291710001,358.0,71.0,116.0,70.0,94.0,7.0,0.0
480291710002,196.0,25.0,81.0,59.0,14.0,9.0,8.0
480291717001,632.0,36.0,62.0,273.0,241.0,20.0,0.0
480291717003,250.0,0.0,103.0,69.0,49.0,29.0,0.0
480291215013,954.0,48.0,112.0,168.0,397.0,229.0,0.0
480291215011,577.0,12.0,62.0,46.0,85.0,302.0,70.0
480291215074,385.0,29.0,22.0,110.0,205.0,19.0,0.0
480291215071,327.0,1.0,66.0,76.0,159.0,25.0,0.0
480291215072,507.0,7.0,56.0,106.0,232.0,84.0,22.0
480291312002,498.0,43.0,113.0,128.0,182.0,32.0,0.0
480291401002,239.0,21.0,43.0,67.0,88.0,20.0,0.0
480291401001,279.0,61.0,33.0,97.0,43.0,29.0,16.0
480291404004,224.0,70.0,28.0,45.0,52.0,29.0,0.0
480291101002,497.0,54.0,75.0,94.0,213.0,30.0,31.0
480291209022,895.0,70.0,88.0,74.0,323.0,232.0,108.0
480291209021,908.0,49.0,242.0,189.0,339.0,77.0,12.0
480291214033,729.0,39.0,81.0,241.0,236.0,132.0,0.0
480291214031,885.0,141.0,108.0,411.0,138.0,87.0,0.0
480291216042,423.0,0.0,29.0,133.0,151.0,97.0,13.0
480291216043,290.0,0.0,0.0,134.0,67.0,89.0,0.0
480291306004,446.0,119.0,119.0,150.0,46.0,12.0,0.0
480291207022,494.0,38.0,61.0,74.0,139.0,91.0,91.0
480291213003,363.0,16.0,50.0,130.0,108.0,59.0,0.0
480291213001,982.0,56.0,57.0,174.0,384.0,272.0,39.0
480291703004,201.0,45.0,58.0,51.0,47.0,0.0,0.0
480291703002,139.0,19.0,50.0,25.0,45.0,0.0,0.0
480291703006,280.0,43.0,78.0,102.0,50.0,7.0,0.0
480291703005,448.0,131.0,55.0,122.0,119.0,21.0,0.0
480291703003,208.0,88.0,28.0,60.0,23.0,0.0,9.0
480291704024,166.0,0.0,56.0,88.0,22.0,0.0,0.0
480291704021,527.0,66.0,111.0,255.0,73.0,22.0,0.0
480291706001,353.0,0.0,101.0,63.0,139.0,42.0,8.0
480291706004,340.0,17.0,42.0,140.0,110.0,23.0,8.0
480291706003,342.0,32.0,57.0,110.0,88.0,45.0,10.0
480291707003,725.0,70.0,208.0,234.0,178.0,35.0,0.0
480291707002,282.0,10.0,67.0,81.0,69.0,55.0,0.0
480291212044,637.0,89.0,70.0,167.0,188.0,78.0,45.0
480291212043,497.0,12.0,114.0,149.0,180.0,14.0,28.0
480291404001,300.0,0.0,58.0,135.0,41.0,53.0,13.0
480291404002,432.0,51.0,61.0,70.0,182.0,68.0,0.0
480291504003,772.0,20.0,234.0,167.0,309.0,42.0,0.0
480291215052,235.0,10.0,41.0,49.0,95.0,40.0,0.0
480291403002,338.0,55.0,114.0,93.0,59.0,17.0,0.0
480291403003,312.0,0.0,118.0,58.0,114.0,22.0,0.0
480291520001,749.0,119.0,103.0,179.0,205.0,126.0,17.0
480291701011,246.0,45.0,74.0,61.0,30.0,30.0,6.0
480291701012,441.0,33.0,162.0,107.0,114.0,25.0,0.0
480291718022,501.0,89.0,77.0,175.0,160.0,0.0,0.0
480291718025,204.0,15.0,47.0,89.0,53.0,0.0,0.0
480291718023,443.0,78.0,134.0,58.0,116.0,57.0,0.0
480291408004,289.0,79.0,53.0,129.0,28.0,0.0,0.0
480291408001,384.0,8.0,17.0,155.0,125.0,79.0,0.0
480291408005,353.0,67.0,67.0,80.0,104.0,35.0,0.0
480291408003,173.0,26.0,37.0,80.0,30.0,0.0,0.0
480291408002,428.0,86.0,53.0,133.0,96.0,60.0,0.0
480291505023,278.0,16.0,33.0,86.0,125.0,18.0,0.0
480291505022,389.0,33.0,105.0,144.0,96.0,11.0,0.0
480291505021,341.0,65.0,85.0,75.0,48.0,68.0,0.0
480291507006,97.0,0.0,39.0,13.0,45.0,0.0,0.0
480291507001,253.0,19.0,48.0,83.0,92.0,11.0,0.0
480291507003,285.0,8.0,8.0,52.0,202.0,15.0,0.0
480291601004,754.0,156.0,215.0,299.0,84.0,0.0,0.0
480291601003,425.0,119.0,194.0,45.0,67.0,0.0,0.0
480291601001,362.0,98.0,61.0,69.0,99.0,35.0,0.0
480291813023,703.0,31.0,16.0,252.0,243.0,149.0,12.0
480291809021,463.0,83.0,146.0,134.0,30.0,56.0,14.0
480291809023,517.0,12.0,187.0,126.0,176.0,16.0,0.0
480291809022,481.0,13.0,45.0,246.0,142.0,35.0,0.0
480291809025,539.0,0.0,114.0,137.0,202.0,86.0,0.0
480291810031,903.0,113.0,313.0,232.0,206.0,39.0,0.0
