block_group,B19051_000E,B19051_001E_R,B19051_002E,B19051_003E,B19052_001E_R,B19052_002E,B19052_003E,B19055_001E_R,B19055_002E,B19055_003E,B19056_001E_R,B19056_002E,B19056_003E,B19057_001E_R,B19057_002E,B19057_003E,B19058_001E_R,B19058_002E,B19058_003E,B19059_001E_R,B19059_002E,B19059_003E
480291805031,240.0,0.8458333333333333,203.0,37.0,0.8458333333333333,203.0,37.0,0.2875,69.0,171.0,0.0875,21.0,219.0,0.041666666666666664,10.0,230.0,0.08333333333333333,20.0,220.0,0.2625,63.0,177.0
480291805032,536.0,0.7873134328358209,422.0,114.0,0.7873134328358209,422.0,114.0,0.21828358208955223,117.0,419.0,0.03731343283582089,20.0,516.0,0.014925373134328358,8.0,528.0,0.06716417910447761,36.0,500.0,0.2630597014925373,141.0,395.0
480291704013,409.0,0.6650366748166259,272.0,137.0,0.6650366748166259,272.0,137.0,0.37163814180929094,152.0,257.0,0.22249388753056235,91.0,318.0,0.039119804400977995,16.0,393.0,0.5672371638141809,232.0,177.0,0.15892420537897312,65.0,344.0
480291704012,190.0,0.631578947368421,120.0,70.0,0.631578947368421,120.0,70.0,0.3526315789473684,67.0,123.0,0.2736842105263158,52.0,138.0,0.02631578947368421,5.0,185.0,0.37894736842105264,72.0,118.0,0.23684210526315788,45.0,145.0
480291914061,1133.0,0.8499558693733451,963.0,170.0,0.7978817299205648,904.0,229.0,0.3000882612533098,340.0,793.0,0.02824360105913504,32.0,1101.0,0.0,0.0,1133.0,0.0,0.0,1133.0,0.3106796116504854,352.0,781.0
480291914092,1419.0,0.9358703312191684,1328.0,91.0,0.8893587033121917,1262.0,157.0,0.10429880197322058,148.0,1271.0,0.047216349541930935,67.0,1352.0,0.012684989429175475,18.0,1401.0,0.08809020436927413,125.0,1294.0,0.0507399577167019,72.0,1347.0
480291212042,792.0,0.8573232323232324,679.0,113.0,0.8358585858585859,662.0,130.0,0.20833333333333334,165.0,627.0,0.050505050505050504,40.0,752.0,0.03156565656565657,25.0,767.0,0.17297979797979798,137.0,655.0,0.14015151515151514,111.0,681.0
480291215081,462.0,0.7792207792207793,360.0,102.0,0.7294372294372294,337.0,125.0,0.3852813852813853,178.0,284.0,0.01948051948051948,9.0,453.0,0.017316017316017316,8.0,454.0,0.19913419913419914,92.0,370.0,0.19696969696969696,91.0,371.0
480291914051,1131.0,0.8320070733863837,941.0,190.0,0.8320070733863837,941.0,190.0,0.16622458001768348,188.0,943.0,0.02475685234305924,28.0,1103.0,0.042440318302387266,48.0,1083.0,0.07780725022104333,88.0,1043.0,0.1290893015030946,146.0,985.0
480291914052,864.0,0.7916666666666666,684.0,180.0,0.7511574074074074,649.0,215.0,0.3101851851851852,268.0,596.0,0.04050925925925926,35.0,829.0,0.0,0.0,864.0,0.018518518518518517,16.0,848.0,0.23842592592592593,206.0,658.0
